gender,ssc_b,hsc_b,hsc_s,degree_t,workex,specialisation,class_name
F,Central,Central,Science,Sci_Tech,No,Mkt_HR,Not
F,Central,Central,Commerce,Comm_Mgmt,No,Mkt_HR,Placed
F,Others,Others,Science,Comm_Mgmt,Yes,Mkt_Fin,Placed
M,Others,Others,Science,Others,No,Mkt_HR,Not
F,Central,Central,Commerce,Comm_Mgmt,No,Mkt_HR,Placed
M,Central,Central,Commerce,Comm_Mgmt,No,Mkt_Fin,Not
F,Central,Central,Science,Sci_Tech,No,Mkt_HR,Placed
F,Others,Others,Science,Comm_Mgmt,No,Mkt_HR,Placed
M,Others,Others,Science,Sci_Tech,No,Mkt_Fin,Placed
F,Central,Others,Commerce,Comm_Mgmt,No,Mkt_Fin,Placed
F,Others,Others,Commerce,Comm_Mgmt,Yes,Mkt_HR,Not
M,Others,Central,Science,Others,No,Mkt_Fin,Not
M,Others,Others,Commerce,Comm_Mgmt,No,Mkt_HR,Placed
F,Others,Others,Commerce,Comm_Mgmt,Yes,Mkt_Fin,Placed
F,Central,Central,Science,Sci_Tech,No,Mkt_HR,Not
F,Others,Others,Science,Comm_Mgmt,No,Mkt_HR,Not
M,Central,Central,Commerce,Comm_Mgmt,Yes,Mkt_Fin,Placed
M,Others,Others,Commerce,Comm_Mgmt,No,Mkt_Fin,Placed
F,Others,Others,Arts,Others,No,Mkt_HR,Not
F,Central,Central,Science,Comm_Mgmt,No,Mkt_HR,Placed
M,Central,Central,Commerce,Comm_Mgmt,No,Mkt_HR,Not
F,Others,Others,Commerce,Comm_Mgmt,No,Mkt_HR,Not
M,Others,Others,Science,Sci_Tech,No,Mkt_HR,Placed
F,Central,Others,Science,Comm_Mgmt,No,Mkt_HR,Placed
M,Central,Others,Science,Comm_Mgmt,No,Mkt_HR,Placed
M,Others,Others,Commerce,Comm_Mgmt,No,Mkt_Fin,Placed
M,Central,Central,Commerce,Comm_Mgmt,No,Mkt_Fin,Placed
M,Central,Others,Science,Comm_Mgmt,No,Mkt_Fin,Placed
M,Central,Others,Science,Sci_Tech,No,Mkt_Fin,Placed
M,Central,Central,Science,Comm_Mgmt,Yes,Mkt_Fin,Placed
M,Central,Central,Commerce,Comm_Mgmt,No,Mkt_Fin,Placed
F,Others,Others,Science,Sci_Tech,No,Mkt_Fin,Placed
M,Others,Others,Commerce,Comm_Mgmt,No,Mkt_HR,Not
M,Others,Others,Commerce,Comm_Mgmt,No,Mkt_Fin,Placed
M,Others,Others,Science,Comm_Mgmt,No,Mkt_HR,Not
M,Others,Others,Science,Comm_Mgmt,No,Mkt_HR,Placed
M,Others,Others,Commerce,Comm_Mgmt,No,Mkt_Fin,Placed
F,Central,Central,Commerce,Sci_Tech,No,Mkt_HR,Not
M,Central,Central,Science,Sci_Tech,Yes,Mkt_Fin,Placed
M,Others,Others,Science,Sci_Tech,No,Mkt_Fin,Placed
M,Others,Others,Commerce,Comm_Mgmt,No,Mkt_Fin,Placed
M,Others,Others,Science,Comm_Mgmt,No,Mkt_Fin,Placed
M,Central,Others,Commerce,Comm_Mgmt,No,Mkt_Fin,Placed
M,Central,Central,Commerce,Comm_Mgmt,No,Mkt_Fin,Placed
F,Central,Others,Commerce,Comm_Mgmt,No,Mkt_HR,Not
F,Others,Central,Arts,Comm_Mgmt,No,Mkt_Fin,Placed
M,Others,Others,Science,Sci_Tech,Yes,Mkt_Fin,Placed
M,Others,Others,Science,Sci_Tech,No,Mkt_Fin,Placed
F,Central,Central,Science,Sci_Tech,No,Mkt_HR,Not
F,Others,Others,Commerce,Comm_Mgmt,Yes,Mkt_HR,Placed
M,Others,Others,Science,Comm_Mgmt,Yes,Mkt_Fin,Placed
M,Central,Central,Commerce,Comm_Mgmt,No,Mkt_Fin,Not
M,Others,Others,Science,Sci_Tech,Yes,Mkt_Fin,Placed
M,Central,Others,Science,Sci_Tech,Yes,Mkt_Fin,Placed
F,Others,Others,Commerce,Comm_Mgmt,Yes,Mkt_Fin,Placed
M,Others,Others,Commerce,Comm_Mgmt,No,Mkt_Fin,Placed
M,Central,Central,Science,Others,No,Mkt_HR,Not
F,Central,Central,Commerce,Comm_Mgmt,No,Mkt_HR,Placed
F,Others,Others,Science,Sci_Tech,Yes,Mkt_HR,Placed
F,Others,Others,Commerce,Comm_Mgmt,No,Mkt_Fin,Placed
M,Central,Central,Commerce,Comm_Mgmt,No,Mkt_HR,Not
F,Central,Central,Science,Comm_Mgmt,No,Mkt_Fin,Placed
M,Central,Central,Commerce,Comm_Mgmt,No,Mkt_HR,Not
M,Central,Central,Commerce,Comm_Mgmt,No,Mkt_Fin,Placed
M,Central,Others,Commerce,Comm_Mgmt,Yes,Mkt_Fin,Placed
F,Central,Central,Science,Comm_Mgmt,Yes,Mkt_Fin,Placed
F,Central,Others,Commerce,Comm_Mgmt,No,Mkt_Fin,Not
F,Central,Central,Commerce,Comm_Mgmt,No,Mkt_Fin,Placed
M,Central,Others,Commerce,Sci_Tech,No,Mkt_Fin,Not
F,Others,Others,Commerce,Comm_Mgmt,Yes,Mkt_HR,Not
M,Central,Central,Commerce,Comm_Mgmt,No,Mkt_HR,Placed
F,Others,Others,Commerce,Comm_Mgmt,Yes,Mkt_Fin,Placed
M,Central,Central,Science,Sci_Tech,Yes,Mkt_HR,Placed
M,Central,Others,Science,Comm_Mgmt,Yes,Mkt_HR,Placed
M,Central,Others,Science,Sci_Tech,No,Mkt_HR,Not
M,Others,Others,Science,Sci_Tech,No,Mkt_Fin,Not
M,Others,Others,Commerce,Comm_Mgmt,No,Mkt_HR,Placed
M,Central,Central,Commerce,Comm_Mgmt,No,Mkt_Fin,Placed
M,Central,Others,Science,Sci_Tech,Yes,Mkt_HR,Not
F,Central,Central,Science,Sci_Tech,No,Mkt_HR,Placed
M,Others,Others,Science,Sci_Tech,No,Mkt_HR,Not
M,Others,Others,Commerce,Comm_Mgmt,No,Mkt_HR,Placed
F,Others,Others,Commerce,Comm_Mgmt,No,Mkt_Fin,Placed
M,Central,Others,Science,Comm_Mgmt,No,Mkt_HR,Placed
F,Others,Others,Science,Comm_Mgmt,No,Mkt_Fin,Placed
M,Central,Central,Commerce,Comm_Mgmt,Yes,Mkt_Fin,Placed
M,Others,Others,Science,Sci_Tech,No,Mkt_Fin,Placed
M,Central,Central,Science,Sci_Tech,Yes,Mkt_HR,Placed
M,Central,Central,Commerce,Comm_Mgmt,Yes,Mkt_Fin,Placed
M,Others,Others,Science,Comm_Mgmt,No,Mkt_HR,Not
F,Central,Others,Science,Sci_Tech,Yes,Mkt_HR,Placed
F,Central,Central,Arts,Comm_Mgmt,Yes,Mkt_Fin,Placed
M,Others,Others,Commerce,Comm_Mgmt,Yes,Mkt_HR,Placed
M,Central,Central,Science,Others,Yes,Mkt_HR,Placed
F,Central,Central,Commerce,Comm_Mgmt,No,Mkt_Fin,Placed
F,Others,Others,Science,Sci_Tech,Yes,Mkt_Fin,Placed
F,Others,Others,Science,Comm_Mgmt,No,Mkt_HR,Placed
M,Central,Central,Science,Sci_Tech,Yes,Mkt_HR,Placed
M,Central,Others,Commerce,Comm_Mgmt,Yes,Mkt_Fin,Placed
M,Central,Others,Commerce,Comm_Mgmt,No,Mkt_Fin,Not
F,Others,Others,Science,Others,Yes,Mkt_Fin,Placed
M,Others,Others,Commerce,Comm_Mgmt,Yes,Mkt_HR,Placed
M,Central,Others,Commerce,Comm_Mgmt,Yes,Mkt_HR,Placed
F,Central,Others,Commerce,Comm_Mgmt,Yes,Mkt_Fin,Placed
F,Central,Others,Science,Comm_Mgmt,No,Mkt_HR,Placed
F,Central,Central,Arts,Comm_Mgmt,No,Mkt_Fin,Not
M,Others,Central,Commerce,Comm_Mgmt,No,Mkt_HR,Placed
F,Others,Others,Science,Sci_Tech,Yes,Mkt_Fin,Placed
M,Central,Central,Commerce,Comm_Mgmt,Yes,Mkt_Fin,Placed
M,Central,Others,Commerce,Comm_Mgmt,Yes,Mkt_Fin,Placed
M,Central,Central,Science,Comm_Mgmt,No,Mkt_HR,Not
M,Central,Others,Science,Sci_Tech,Yes,Mkt_Fin,Placed
M,Others,Others,Commerce,Comm_Mgmt,No,Mkt_Fin,Placed
M,Others,Others,Arts,Comm_Mgmt,No,Mkt_Fin,Not
M,Others,Others,Science,Sci_Tech,No,Mkt_HR,Placed
M,Central,Others,Science,Comm_Mgmt,No,Mkt_HR,Placed
M,Central,Central,Commerce,Comm_Mgmt,No,Mkt_Fin,Placed
F,Central,Central,Arts,Others,No,Mkt_Fin,Placed
M,Central,Central,Arts,Comm_Mgmt,Yes,Mkt_HR,Not
M,Central,Central,Science,Sci_Tech,Yes,Mkt_Fin,Placed
M,Central,Central,Commerce,Comm_Mgmt,No,Mkt_Fin,Placed
F,Others,Central,Science,Sci_Tech,No,Mkt_Fin,Placed
M,Others,Others,Science,Sci_Tech,Yes,Mkt_Fin,Placed
M,Central,Others,Science,Comm_Mgmt,Yes,Mkt_Fin,Placed
M,Others,Others,Commerce,Comm_Mgmt,Yes,Mkt_HR,Not
M,Central,Central,Science,Sci_Tech,Yes,Mkt_HR,Placed
M,Central,Central,Commerce,Comm_Mgmt,No,Mkt_Fin,Placed
M,Others,Others,Science,Sci_Tech,No,Mkt_Fin,Not
M,Central,Others,Commerce,Comm_Mgmt,No,Mkt_HR,Not
M,Central,Central,Science,Sci_Tech,Yes,Mkt_HR,Placed
M,Others,Others,Commerce,Comm_Mgmt,No,Mkt_HR,Not
M,Central,Others,Commerce,Comm_Mgmt,Yes,Mkt_Fin,Placed
M,Others,Others,Science,Sci_Tech,No,Mkt_Fin,Placed
F,Central,Central,Commerce,Comm_Mgmt,No,Mkt_Fin,Placed
F,Central,Others,Commerce,Comm_Mgmt,No,Mkt_Fin,Not
M,Others,Others,Commerce,Comm_Mgmt,Yes,Mkt_HR,Placed
M,Others,Others,Science,Sci_Tech,Yes,Mkt_Fin,Not
F,Central,Central,Commerce,Comm_Mgmt,Yes,Mkt_HR,Not
M,Others,Others,Science,Sci_Tech,No,Mkt_HR,Not
F,Others,Others,Commerce,Comm_Mgmt,No,Mkt_HR,Not
M,Others,Others,Commerce,Comm_Mgmt,Yes,Mkt_Fin,Placed
M,Others,Others,Commerce,Comm_Mgmt,No,Mkt_HR,Placed
F,Others,Others,Science,Sci_Tech,No,Mkt_HR,Not
M,Others,Others,Science,Sci_Tech,Yes,Mkt_Fin,Placed
M,Others,Others,Science,Sci_Tech,No,Mkt_HR,Not
F,Central,Others,Commerce,Comm_Mgmt,No,Mkt_HR,Placed
F,Central,Others,Commerce,Comm_Mgmt,Yes,Mkt_Fin,Placed
M,Others,Others,Science,Sci_Tech,No,Mkt_HR,Placed
F,Central,Central,Science,Sci_Tech,No,Mkt_HR,Not
M,Central,Others,Commerce,Comm_Mgmt,Yes,Mkt_Fin,Placed
M,Central,Others,Science,Sci_Tech,No,Mkt_HR,Not
M,Others,Others,Arts,Others,Yes,Mkt_Fin,Not
M,Central,Central,Commerce,Comm_Mgmt,No,Mkt_HR,Placed
F,Others,Others,Commerce,Comm_Mgmt,No,Mkt_HR,Not
F,Central,Central,Science,Others,No,Mkt_HR,Placed
F,Central,Central,Commerce,Comm_Mgmt,No,Mkt_Fin,Not
M,Central,Central,Science,Sci_Tech,Yes,Mkt_Fin,Placed
M,Others,Others,Commerce,Comm_Mgmt,No,Mkt_Fin,Not
F,Central,Others,Commerce,Comm_Mgmt,No,Mkt_Fin,Not
F,Others,Central,Commerce,Comm_Mgmt,No,Mkt_Fin,Not
M,Others,Central,Science,Comm_Mgmt,No,Mkt_Fin,Placed
M,Central,Central,Commerce,Comm_Mgmt,Yes,Mkt_Fin,Placed
F,Central,Central,Arts,Others,Yes,Mkt_HR,Placed
M,Others,Others,Commerce,Comm_Mgmt,No,Mkt_Fin,Not
M,Central,Central,Commerce,Comm_Mgmt,Yes,Mkt_HR,Placed
M,Others,Others,Science,Sci_Tech,Yes,Mkt_Fin,Placed
F,Others,Others,Science,Sci_Tech,No,Mkt_HR,Placed
F,Central,Central,Commerce,Others,No,Mkt_HR,Not
M,Others,Others,Commerce,Comm_Mgmt,No,Mkt_HR,Placed
M,Others,Others,Commerce,Comm_Mgmt,No,Mkt_Fin,Placed
M,Central,Others,Science,Comm_Mgmt,No,Mkt_HR,Not
M,Central,Central,Science,Sci_Tech,No,Mkt_HR,Placed
M,Others,Others,Commerce,Comm_Mgmt,No,Mkt_HR,Placed
F,Others,Others,Commerce,Comm_Mgmt,Yes,Mkt_Fin,Placed
M,Others,Others,Commerce,Comm_Mgmt,No,Mkt_Fin,Placed
M,Central,Central,Science,Comm_Mgmt,No,Mkt_Fin,Not
M,Central,Others,Commerce,Comm_Mgmt,Yes,Mkt_Fin,Placed
F,Central,Others,Science,Comm_Mgmt,No,Mkt_HR,Not
M,Central,Central,Commerce,Comm_Mgmt,No,Mkt_Fin,Placed
M,Others,Others,Commerce,Comm_Mgmt,No,Mkt_Fin,Placed
M,Others,Others,Science,Sci_Tech,No,Mkt_Fin,Placed
M,Others,Others,Commerce,Comm_Mgmt,Yes,Mkt_Fin,Placed
F,Others,Others,Commerce,Comm_Mgmt,No,Mkt_HR,Placed
M,Central,Others,Science,Comm_Mgmt,No,Mkt_HR,Not
