id,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,class_name
58,M,small,medium,medium,medium,medium,medium,medium,young
59,I,small,small,small,light,light,light,light,young
60,F,medium,medium,medium,medium,medium,medium,medium,young
61,M,small,small,small,light,light,light,light,young
62,M,medium,medium,small,medium,medium,medium,medium,medium_age
63,F,medium,medium,medium,medium,medium,medium,medium,medium_age
64,M,small,small,small,light,light,light,light,young
65,M,medium,medium,small,medium,light,medium,medium,young
66,M,small,small,small,light,light,light,light,young
67,F,medium,medium,high,medium,medium,medium,heavy,old_age
68,F,large,large,high,heavy,medium,heavy,heavy,old_age
69,F,small,medium,small,light,light,light,medium,medium_age
70,I,small,small,small,light,light,light,light,young
71,M,medium,medium,medium,medium,medium,medium,medium,old_age
72,F,small,small,small,light,light,light,light,young
73,F,large,large,high,heavy,heavy,heavy,heavy,old_age
74,M,medium,large,high,heavy,heavy,heavy,heavy,old_age
75,F,large,medium,high,heavy,heavy,heavy,heavy,old_age
76,F,large,large,medium,medium,medium,medium,medium,old_age
77,M,large,large,medium,medium,medium,medium,heavy,medium_age
78,F,large,large,medium,medium,medium,medium,heavy,medium_age
79,F,medium,medium,medium,medium,medium,medium,medium,old_age
80,F,large,large,high,heavy,heavy,heavy,heavy,old_age
81,F,medium,medium,medium,medium,medium,heavy,medium,medium_age
82,M,large,large,high,heavy,heavy,medium,heavy,old_age
83,F,medium,medium,high,medium,medium,heavy,heavy,old_age
84,M,large,large,high,heavy,medium,heavy,heavy,old_age
85,M,medium,medium,medium,medium,medium,medium,heavy,old_age
86,F,medium,large,high,heavy,medium,heavy,heavy,old_age
87,M,large,large,medium,heavy,heavy,medium,heavy,old_age
88,M,medium,medium,high,medium,medium,medium,medium,medium_age
89,F,small,small,medium,light,light,light,medium,medium_age
90,F,medium,medium,high,medium,medium,heavy,heavy,old_age
91,M,medium,medium,medium,medium,medium,medium,medium,old_age
92,M,medium,medium,medium,medium,medium,medium,medium,old_age
93,M,large,large,high,heavy,medium,heavy,heavy,old_age
94,F,large,large,high,heavy,heavy,heavy,heavy,medium_age
95,M,large,large,high,heavy,heavy,heavy,heavy,old_age
96,M,large,large,high,heavy,heavy,heavy,heavy,old_age
97,M,medium,medium,medium,medium,medium,medium,medium,medium_age
98,M,small,small,medium,light,light,medium,light,young
99,M,small,small,medium,light,light,medium,medium,young
100,F,small,small,medium,medium,medium,light,light,medium_age
101,I,small,small,small,light,light,light,light,young
102,M,medium,medium,medium,medium,medium,medium,medium,old_age
103,M,medium,medium,high,medium,medium,medium,heavy,old_age
104,M,medium,medium,medium,medium,medium,medium,medium,medium_age
105,M,large,large,high,heavy,heavy,heavy,heavy,old_age
106,F,medium,medium,medium,medium,medium,medium,medium,old_age
107,F,medium,medium,high,medium,medium,medium,medium,old_age
108,F,medium,medium,medium,medium,medium,medium,medium,medium_age
109,F,medium,medium,medium,medium,light,medium,medium,medium_age
110,F,small,medium,small,light,light,light,light,medium_age
111,M,medium,medium,medium,light,medium,medium,light,medium_age
112,M,small,small,small,light,light,light,medium,medium_age
113,I,small,small,small,light,light,light,light,medium_age
114,M,small,small,small,light,light,light,medium,medium_age
115,F,medium,medium,medium,medium,medium,medium,medium,old_age
116,F,medium,medium,small,medium,light,medium,medium,old_age
117,F,medium,small,medium,medium,medium,light,medium,old_age
118,M,small,small,small,light,light,light,medium,medium_age
119,F,medium,medium,medium,medium,medium,medium,heavy,medium_age
120,M,small,small,small,light,light,light,light,young
121,F,small,small,small,light,light,light,light,medium_age
122,I,small,small,small,light,light,light,light,young
123,F,medium,medium,medium,medium,medium,medium,medium,old_age
124,M,small,small,small,light,light,light,light,young
125,I,small,small,small,light,light,light,light,young
126,I,small,small,small,light,light,light,light,young
127,I,small,small,small,light,light,light,light,young
128,I,small,small,small,light,light,light,light,young
129,M,large,large,high,heavy,heavy,heavy,heavy,old_age
130,M,large,large,high,heavy,heavy,heavy,heavy,old_age
131,M,large,large,high,heavy,heavy,heavy,heavy,old_age
132,F,small,small,medium,light,light,light,light,medium_age
133,F,small,small,small,light,light,light,light,young
134,I,small,small,small,light,light,light,light,young
135,I,small,small,small,light,light,light,light,young
136,F,small,small,small,light,light,light,light,young
137,F,small,small,small,light,light,light,light,young
138,M,small,small,small,light,light,light,light,medium_age
139,F,small,small,small,light,light,light,light,medium_age
140,M,small,small,small,light,light,light,light,medium_age
141,F,medium,medium,medium,medium,medium,medium,medium,medium_age
142,F,medium,medium,medium,medium,medium,medium,medium,medium_age
143,M,large,large,high,heavy,heavy,heavy,heavy,old_age
144,M,medium,medium,medium,medium,medium,medium,medium,old_age
145,M,small,small,medium,light,light,light,medium,medium_age
146,F,medium,medium,medium,light,medium,light,medium,medium_age
147,M,small,small,small,light,light,light,light,medium_age
148,I,small,small,small,light,light,light,light,medium_age
149,I,small,small,small,light,light,light,light,young
150,I,small,small,small,light,light,light,light,young
151,M,medium,large,medium,heavy,medium,heavy,heavy,old_age
152,F,large,large,high,heavy,heavy,heavy,heavy,medium_age
153,F,large,large,high,heavy,heavy,heavy,heavy,medium_age
154,F,large,large,high,heavy,medium,heavy,heavy,medium_age
155,F,medium,medium,medium,medium,medium,medium,heavy,old_age
156,M,medium,medium,medium,medium,medium,medium,medium,medium_age
157,F,medium,medium,high,medium,medium,heavy,heavy,old_age
158,M,large,large,high,heavy,heavy,heavy,heavy,old_age
159,F,medium,medium,high,medium,medium,medium,medium,old_age
160,F,medium,medium,high,heavy,medium,medium,heavy,old_age
161,M,large,large,high,heavy,medium,heavy,heavy,old_age
162,F,large,large,high,heavy,heavy,heavy,medium,old_age
163,M,large,large,high,heavy,heavy,heavy,heavy,old_age
164,F,large,large,high,heavy,heavy,heavy,heavy,old_age
165,F,large,large,high,heavy,heavy,heavy,heavy,old_age
166,M,large,large,high,heavy,heavy,heavy,heavy,old_age
167,F,large,large,high,heavy,heavy,heavy,heavy,old_age
168,F,large,large,high,heavy,heavy,heavy,heavy,old_age
169,M,large,large,high,heavy,heavy,heavy,heavy,old_age
170,F,large,large,high,heavy,heavy,heavy,heavy,old_age
171,M,large,large,high,heavy,heavy,heavy,heavy,old_age
172,F,medium,medium,medium,medium,medium,medium,medium,young
173,M,medium,medium,medium,heavy,heavy,heavy,medium,young
174,F,medium,medium,small,medium,medium,medium,medium,young
175,I,small,small,small,light,light,light,light,young
176,I,small,small,small,light,light,light,light,young
177,I,small,small,small,light,light,light,light,young
178,I,small,small,small,light,light,light,light,young
179,I,small,small,small,light,light,light,light,young
180,M,medium,large,medium,medium,medium,medium,heavy,old_age
181,M,medium,large,high,medium,medium,medium,heavy,old_age
182,M,large,large,high,heavy,heavy,heavy,heavy,old_age
183,F,medium,medium,high,medium,medium,heavy,heavy,medium_age
184,F,large,large,high,medium,medium,medium,heavy,medium_age
185,F,large,large,high,heavy,heavy,heavy,heavy,old_age
186,M,large,large,high,heavy,heavy,heavy,heavy,old_age
187,F,large,large,medium,heavy,medium,heavy,medium,old_age
188,F,large,large,high,heavy,heavy,heavy,heavy,medium_age
189,F,large,large,high,heavy,heavy,heavy,heavy,old_age
190,F,medium,medium,high,medium,medium,heavy,medium,medium_age
191,M,large,large,high,heavy,heavy,medium,heavy,old_age
192,M,large,large,high,medium,medium,heavy,heavy,old_age
193,M,medium,medium,medium,medium,medium,medium,heavy,old_age
194,I,small,small,small,light,light,light,light,young
195,F,medium,medium,medium,medium,heavy,medium,medium,medium_age
196,M,medium,medium,medium,medium,medium,medium,medium,old_age
197,F,medium,medium,medium,medium,medium,medium,medium,old_age
198,M,large,large,high,heavy,medium,heavy,heavy,old_age
199,M,medium,medium,high,medium,medium,medium,medium,old_age
200,M,medium,medium,high,medium,medium,medium,medium,medium_age
201,F,small,small,small,light,light,light,light,medium_age
202,M,medium,medium,high,medium,medium,medium,medium,old_age
203,F,medium,medium,medium,medium,light,medium,medium,old_age
204,F,medium,medium,high,medium,medium,medium,medium,old_age
205,M,small,small,small,light,light,light,light,young
206,F,small,small,medium,light,light,light,light,medium_age
207,I,small,small,small,light,light,light,light,medium_age
208,I,small,small,small,light,light,light,light,young
209,F,medium,medium,high,medium,medium,medium,heavy,old_age
210,I,small,small,small,light,light,light,light,young
211,F,medium,small,medium,medium,light,medium,medium,medium_age
212,M,small,small,small,light,light,light,light,young
213,F,small,small,small,light,light,light,light,old_age
214,M,medium,medium,medium,medium,medium,medium,medium,medium_age
215,F,medium,medium,high,medium,medium,medium,medium,old_age
216,M,medium,medium,medium,medium,medium,medium,medium,medium_age
217,M,small,small,medium,light,light,light,light,young
218,I,small,small,small,light,light,light,light,young
219,M,small,small,medium,light,light,light,medium,medium_age
220,F,small,small,medium,light,light,light,light,young
221,F,small,small,medium,light,light,light,light,medium_age
222,F,small,small,medium,light,light,medium,medium,old_age
223,F,medium,small,medium,medium,light,medium,medium,medium_age
224,F,small,small,medium,light,light,medium,light,old_age
225,I,small,medium,small,light,light,light,light,medium_age
226,F,medium,small,medium,light,light,light,light,medium_age
227,F,small,small,medium,light,light,light,light,young
228,I,small,small,small,light,light,light,light,young
229,F,medium,large,high,heavy,medium,medium,heavy,old_age
230,F,medium,medium,high,medium,medium,medium,medium,old_age
231,M,medium,medium,medium,medium,medium,medium,medium,old_age
232,M,medium,medium,high,medium,medium,medium,heavy,old_age
233,M,large,large,high,heavy,heavy,heavy,heavy,old_age
234,I,small,small,small,light,light,light,light,young
235,I,small,small,medium,light,light,light,light,old_age
236,I,small,small,small,light,light,light,light,medium_age
237,I,small,small,small,light,light,light,light,young
238,I,small,small,small,light,light,light,light,young
239,I,small,small,small,light,light,light,light,young
240,I,small,small,small,light,light,light,light,young
241,M,medium,medium,high,medium,medium,medium,medium,old_age
242,I,small,small,small,light,light,light,light,young
243,I,small,small,small,light,light,light,light,young
244,I,small,small,small,light,light,light,light,young
245,I,small,small,small,light,light,light,light,young
246,I,small,small,small,light,light,light,light,medium_age
247,I,small,small,small,light,light,light,light,old_age
248,I,small,small,small,light,light,light,light,medium_age
249,I,small,small,small,light,light,light,light,young
250,I,small,small,small,light,light,light,light,young
251,I,small,small,small,light,light,light,light,young
252,M,medium,large,high,heavy,medium,heavy,heavy,old_age
253,F,large,medium,medium,heavy,heavy,medium,heavy,old_age
254,F,medium,medium,high,heavy,heavy,medium,heavy,old_age
255,M,large,large,high,heavy,heavy,heavy,heavy,old_age
256,M,medium,medium,high,medium,medium,medium,heavy,old_age
257,M,medium,medium,high,heavy,medium,medium,heavy,old_age
258,M,medium,medium,high,medium,medium,medium,heavy,medium_age
259,F,large,large,high,heavy,heavy,heavy,heavy,old_age
260,F,medium,large,high,heavy,heavy,heavy,heavy,old_age
261,F,medium,large,medium,medium,medium,medium,medium,old_age
262,F,medium,medium,medium,medium,medium,medium,medium,old_age
263,M,medium,medium,high,medium,medium,heavy,medium,old_age
264,I,small,small,small,light,light,light,light,young
265,M,small,small,small,light,light,light,light,young
266,F,small,medium,medium,medium,medium,medium,light,old_age
267,M,medium,medium,medium,medium,medium,medium,medium,old_age
268,M,small,small,small,light,light,light,light,young
269,M,small,medium,medium,medium,light,light,medium,medium_age
270,F,small,small,medium,light,light,light,medium,old_age
271,F,large,large,high,heavy,heavy,heavy,heavy,old_age
272,M,medium,large,high,heavy,medium,heavy,heavy,old_age
273,M,large,large,high,heavy,medium,heavy,heavy,old_age
274,M,large,large,high,heavy,heavy,heavy,heavy,old_age
275,M,large,large,medium,heavy,medium,medium,heavy,old_age
276,M,large,large,high,heavy,heavy,heavy,heavy,old_age
277,F,large,large,high,heavy,heavy,heavy,heavy,old_age
278,M,large,large,high,heavy,heavy,heavy,heavy,old_age
279,M,large,large,high,heavy,heavy,heavy,heavy,old_age
280,F,medium,medium,medium,medium,medium,medium,medium,old_age
281,F,medium,medium,high,medium,medium,medium,heavy,old_age
282,I,small,small,small,light,light,light,light,young
283,F,small,small,small,light,light,light,light,medium_age
284,M,medium,medium,medium,medium,light,medium,medium,old_age
285,M,medium,medium,high,medium,medium,medium,heavy,old_age
286,F,medium,medium,high,medium,medium,medium,medium,medium_age
287,M,medium,medium,medium,medium,medium,medium,medium,medium_age
288,F,medium,medium,medium,medium,medium,medium,medium,old_age
289,M,small,small,medium,light,light,light,medium,medium_age
290,F,medium,medium,high,medium,medium,medium,medium,medium_age
291,M,medium,medium,high,medium,medium,heavy,heavy,old_age
292,F,medium,large,high,heavy,heavy,heavy,heavy,old_age
293,M,large,large,high,heavy,medium,medium,heavy,old_age
294,F,medium,medium,high,medium,medium,medium,heavy,old_age
295,M,large,large,high,heavy,medium,medium,heavy,old_age
296,I,small,small,small,light,light,light,light,young
297,I,small,small,small,light,light,light,light,young
298,I,small,small,small,light,light,light,light,young
299,M,medium,medium,medium,light,light,medium,light,old_age
300,M,small,small,small,light,light,light,light,medium_age
301,F,small,small,small,light,light,light,light,medium_age
302,F,medium,medium,high,medium,medium,medium,heavy,old_age
303,M,small,small,small,light,light,light,light,young
304,M,small,small,small,light,light,light,light,young
305,F,small,small,medium,light,light,light,light,medium_age
306,I,small,small,small,light,light,light,light,young
307,I,small,small,small,light,light,light,light,young
308,M,large,large,high,heavy,heavy,heavy,heavy,old_age
309,M,medium,medium,medium,medium,medium,medium,medium,old_age
310,M,medium,medium,medium,medium,medium,heavy,medium,medium_age
311,F,large,large,high,heavy,heavy,heavy,heavy,old_age
312,M,medium,medium,medium,medium,medium,medium,medium,old_age
313,M,large,medium,high,heavy,heavy,heavy,heavy,old_age
314,F,large,large,high,heavy,medium,heavy,heavy,old_age
315,M,large,large,high,heavy,medium,heavy,heavy,old_age
316,I,small,small,small,light,light,light,light,young
317,F,large,large,high,heavy,heavy,heavy,heavy,old_age
318,M,small,small,small,light,light,light,light,medium_age
319,F,medium,medium,medium,medium,medium,medium,heavy,old_age
320,I,small,small,small,light,light,light,light,young
321,I,small,small,small,light,light,light,light,young
322,I,small,small,small,light,light,light,light,young
323,M,small,small,small,light,light,light,light,old_age
324,I,small,small,small,light,light,light,light,young
325,M,small,small,small,light,light,light,light,young
326,I,small,small,small,light,light,light,light,young
327,I,small,small,small,light,light,light,light,young
328,M,medium,medium,medium,medium,medium,medium,medium,old_age
329,M,small,small,small,light,light,light,light,young
330,I,small,small,small,light,light,light,light,young
331,M,medium,medium,medium,medium,light,medium,medium,old_age
332,F,small,small,small,light,light,light,light,young
333,I,small,small,small,light,light,light,light,young
334,I,small,small,small,light,light,light,light,young
335,F,large,large,high,heavy,heavy,heavy,heavy,old_age
336,M,large,large,high,heavy,heavy,heavy,heavy,old_age
337,M,large,large,high,heavy,medium,heavy,heavy,old_age
338,M,medium,medium,high,heavy,heavy,heavy,heavy,old_age
339,M,large,large,high,heavy,heavy,heavy,heavy,old_age
340,F,medium,medium,high,medium,medium,heavy,medium,old_age
341,M,medium,medium,medium,heavy,heavy,heavy,heavy,old_age
342,F,large,large,high,heavy,heavy,heavy,heavy,old_age
343,M,large,large,high,heavy,heavy,heavy,heavy,old_age
344,F,medium,small,high,medium,light,medium,medium,old_age
345,F,small,medium,medium,medium,medium,medium,medium,young
346,M,medium,medium,medium,medium,medium,medium,medium,old_age
347,F,medium,medium,high,medium,medium,medium,medium,medium_age
348,I,small,small,small,light,light,light,light,young
349,I,small,small,small,light,light,light,light,young
350,M,large,large,medium,heavy,heavy,heavy,medium,old_age
351,F,large,large,high,heavy,heavy,heavy,medium,young
352,F,medium,medium,high,medium,medium,medium,medium,old_age
353,M,medium,medium,medium,medium,heavy,medium,medium,old_age
354,M,medium,medium,high,medium,medium,heavy,medium,medium_age
355,M,large,large,high,heavy,heavy,heavy,heavy,old_age
356,M,large,large,high,heavy,heavy,heavy,heavy,old_age
357,M,large,large,high,heavy,heavy,heavy,heavy,old_age
358,F,large,large,high,heavy,heavy,heavy,heavy,old_age
359,M,large,large,high,heavy,heavy,heavy,heavy,old_age
360,F,large,large,high,heavy,heavy,heavy,heavy,old_age
361,M,large,large,high,heavy,heavy,heavy,heavy,old_age
362,F,medium,large,medium,medium,medium,heavy,heavy,old_age
363,F,large,large,high,heavy,heavy,heavy,heavy,old_age
364,F,large,large,medium,medium,medium,heavy,heavy,old_age
365,F,large,large,high,heavy,heavy,heavy,heavy,old_age
366,M,large,large,high,medium,medium,heavy,heavy,old_age
367,M,medium,large,medium,medium,medium,medium,medium,old_age
368,F,medium,medium,small,heavy,heavy,heavy,medium,medium_age
369,M,large,large,high,heavy,heavy,heavy,heavy,old_age
370,F,large,large,high,heavy,heavy,heavy,heavy,old_age
371,F,large,large,high,heavy,heavy,heavy,heavy,old_age
372,F,large,large,high,heavy,heavy,heavy,heavy,old_age
373,F,large,large,high,heavy,heavy,heavy,heavy,old_age
374,F,large,large,high,heavy,heavy,heavy,heavy,old_age
375,M,large,large,medium,heavy,heavy,heavy,heavy,old_age
376,F,large,large,high,heavy,heavy,heavy,heavy,old_age
377,M,large,large,high,heavy,heavy,heavy,medium,old_age
378,F,medium,medium,high,heavy,heavy,heavy,medium,medium_age
379,M,medium,large,high,medium,medium,medium,heavy,old_age
380,F,large,large,high,heavy,medium,heavy,heavy,old_age
381,M,large,large,high,heavy,medium,heavy,heavy,old_age
382,M,medium,medium,medium,medium,medium,medium,medium,medium_age
383,M,medium,medium,medium,medium,medium,medium,medium,medium_age
384,M,small,small,small,light,light,medium,medium,old_age
385,M,medium,medium,medium,medium,medium,medium,medium,medium_age
386,F,small,small,small,light,light,medium,light,medium_age
387,M,medium,medium,medium,medium,medium,medium,medium,old_age
388,M,small,medium,medium,light,light,medium,light,medium_age
389,M,medium,medium,medium,medium,medium,medium,medium,old_age
390,I,small,small,small,light,light,light,light,medium_age
391,I,small,small,small,light,light,light,light,medium_age
392,M,small,small,medium,medium,medium,light,medium,medium_age
393,F,small,small,medium,medium,medium,medium,medium,medium_age
394,I,small,small,small,light,light,light,light,medium_age
395,I,small,small,small,light,light,light,light,young
396,I,small,small,small,light,light,light,light,old_age
397,F,medium,medium,medium,medium,medium,medium,medium,medium_age
398,M,small,medium,medium,medium,medium,medium,medium,young
399,M,medium,medium,medium,medium,medium,medium,medium,old_age
400,M,medium,medium,medium,medium,medium,medium,heavy,old_age
401,F,medium,small,small,medium,medium,medium,medium,medium_age
402,M,medium,medium,medium,medium,medium,medium,medium,medium_age
403,F,small,small,small,light,light,light,light,young
404,F,medium,medium,medium,medium,medium,medium,medium,medium_age
405,I,small,small,small,light,light,light,light,young
406,F,medium,medium,medium,medium,medium,medium,medium,old_age
407,M,small,small,small,light,light,light,light,young
408,M,medium,large,small,medium,medium,medium,medium,old_age
409,M,medium,medium,medium,medium,medium,heavy,medium,old_age
410,M,medium,medium,small,medium,medium,medium,medium,young
411,M,medium,large,high,heavy,heavy,heavy,heavy,old_age
412,M,medium,large,small,medium,medium,medium,medium,old_age
413,F,medium,medium,small,medium,heavy,heavy,medium,old_age
414,M,medium,medium,small,medium,medium,medium,medium,old_age
415,F,large,large,high,heavy,heavy,heavy,heavy,old_age
416,F,large,large,medium,heavy,medium,heavy,heavy,old_age
417,F,large,large,high,heavy,heavy,heavy,heavy,old_age
418,M,large,large,high,heavy,heavy,heavy,heavy,old_age
419,F,large,large,medium,medium,medium,medium,heavy,old_age
420,M,medium,medium,medium,medium,light,medium,medium,old_age
421,F,large,large,high,heavy,heavy,heavy,heavy,old_age
422,I,medium,medium,small,light,light,medium,light,old_age
423,F,medium,medium,medium,medium,medium,medium,medium,old_age
424,I,small,small,small,light,light,light,light,young
425,I,small,small,small,light,light,light,light,young
426,M,medium,medium,high,heavy,medium,medium,heavy,old_age
427,F,large,large,high,heavy,medium,heavy,heavy,old_age
428,M,large,large,high,medium,medium,medium,heavy,old_age
429,F,medium,medium,medium,medium,medium,medium,heavy,old_age
430,F,medium,medium,high,heavy,medium,medium,heavy,old_age
431,F,medium,medium,high,medium,medium,medium,heavy,old_age
432,M,large,large,medium,heavy,medium,medium,heavy,old_age
433,M,medium,medium,high,medium,medium,medium,heavy,old_age
434,M,medium,medium,medium,medium,medium,medium,medium,old_age
435,I,small,small,small,light,light,light,light,old_age
436,M,medium,medium,medium,medium,medium,medium,medium,old_age
437,I,small,small,small,light,light,light,light,young
438,I,small,small,small,light,light,light,light,old_age
439,M,small,small,small,light,light,light,light,medium_age
440,M,medium,medium,high,medium,medium,medium,medium,old_age
441,I,small,small,small,light,light,light,light,medium_age
442,I,small,small,small,light,light,light,light,young
443,F,medium,medium,medium,medium,medium,medium,medium,old_age
444,I,small,small,small,light,light,light,light,medium_age
445,F,small,small,small,light,light,light,light,medium_age
446,F,medium,medium,high,medium,medium,medium,medium,medium_age
447,M,medium,medium,high,medium,medium,medium,heavy,old_age
448,M,medium,medium,high,medium,medium,medium,heavy,old_age
449,M,large,large,high,heavy,heavy,heavy,heavy,old_age
450,F,medium,medium,medium,medium,medium,medium,medium,old_age
451,M,large,large,high,heavy,heavy,heavy,heavy,old_age
452,F,large,large,high,heavy,heavy,heavy,heavy,old_age
453,F,large,large,high,heavy,heavy,heavy,heavy,old_age
454,F,medium,large,medium,medium,medium,medium,medium,old_age
455,F,large,large,high,heavy,heavy,heavy,heavy,old_age
456,M,medium,large,medium,medium,medium,medium,medium,old_age
457,F,large,large,high,heavy,heavy,heavy,heavy,old_age
458,I,small,small,small,light,light,light,light,medium_age
459,I,small,small,small,light,light,light,light,medium_age
460,F,medium,medium,medium,medium,medium,medium,medium,old_age
461,M,small,small,small,light,light,light,light,old_age
462,F,medium,large,high,medium,medium,heavy,medium,old_age
463,I,small,small,small,light,light,light,light,young
464,I,small,small,small,light,light,light,light,young
465,I,small,small,small,light,light,light,light,young
466,I,small,small,small,light,light,light,light,young
467,F,large,large,high,heavy,heavy,heavy,heavy,old_age
468,M,large,large,high,heavy,heavy,heavy,heavy,old_age
469,F,large,large,high,heavy,heavy,heavy,heavy,old_age
470,M,large,large,high,heavy,heavy,heavy,heavy,old_age
471,F,medium,medium,medium,medium,medium,medium,medium,medium_age
472,F,medium,medium,small,medium,medium,medium,medium,medium_age
473,I,small,small,small,light,light,light,light,medium_age
474,F,medium,medium,small,medium,medium,medium,medium,old_age
475,F,medium,medium,high,medium,medium,medium,medium,medium_age
476,M,medium,medium,high,medium,medium,medium,medium,old_age
477,F,small,small,small,light,light,light,light,medium_age
478,M,large,large,high,heavy,heavy,heavy,heavy,old_age
479,M,large,large,high,heavy,heavy,heavy,heavy,old_age
480,M,large,large,high,heavy,heavy,heavy,heavy,old_age
481,F,large,large,high,heavy,heavy,heavy,heavy,old_age
482,M,medium,medium,medium,medium,medium,heavy,heavy,old_age
483,M,medium,large,medium,medium,medium,medium,medium,old_age
484,F,medium,medium,medium,medium,medium,medium,medium,old_age
485,M,large,large,medium,medium,medium,heavy,heavy,old_age
486,F,medium,large,medium,medium,medium,medium,heavy,old_age
487,M,medium,medium,medium,medium,medium,heavy,medium,old_age
488,F,large,large,medium,heavy,heavy,heavy,heavy,old_age
489,M,medium,medium,medium,medium,medium,medium,medium,old_age
490,F,medium,medium,high,heavy,medium,medium,medium,old_age
491,M,medium,medium,medium,heavy,heavy,medium,medium,old_age
492,M,medium,medium,medium,medium,medium,medium,medium,old_age
493,F,large,large,medium,heavy,heavy,heavy,heavy,old_age
494,M,large,large,high,heavy,heavy,heavy,heavy,old_age
495,M,large,large,high,heavy,heavy,medium,heavy,old_age
496,F,large,large,medium,medium,medium,heavy,heavy,old_age
497,F,large,large,high,heavy,medium,heavy,heavy,old_age
498,F,large,large,high,medium,medium,medium,heavy,old_age
499,F,large,large,medium,heavy,medium,heavy,heavy,old_age
500,M,medium,medium,high,medium,medium,medium,heavy,medium_age
501,F,medium,medium,high,medium,medium,medium,medium,old_age
502,F,large,large,high,heavy,medium,heavy,heavy,old_age
503,F,large,large,high,heavy,medium,medium,heavy,old_age
504,F,large,large,high,heavy,medium,heavy,heavy,old_age
505,F,large,large,high,heavy,medium,heavy,heavy,old_age
506,M,large,large,high,heavy,heavy,heavy,heavy,old_age
507,M,medium,medium,high,medium,medium,medium,heavy,old_age
508,M,medium,medium,high,heavy,medium,medium,heavy,old_age
509,M,medium,medium,high,medium,medium,medium,medium,old_age
510,I,medium,medium,medium,medium,medium,medium,medium,old_age
511,I,large,large,high,heavy,medium,heavy,heavy,medium_age
512,F,small,small,medium,light,light,medium,light,medium_age
513,F,medium,medium,medium,medium,medium,medium,medium,medium_age
514,M,small,small,small,light,light,light,light,young
515,F,small,small,small,light,light,light,light,young
516,M,small,small,small,light,light,light,light,young
517,M,small,small,small,light,light,light,light,medium_age
518,M,small,small,small,light,light,light,light,young
519,M,small,small,small,light,light,light,light,young
520,F,small,small,small,light,light,light,light,young
521,M,small,small,small,light,light,light,light,young
522,F,small,small,small,light,light,light,light,young
523,I,small,small,small,light,light,light,light,medium_age
524,M,small,small,small,light,light,light,light,young
