left,right,confidence,support
"{'hdchk=f','mulch=f','reskd=f','skach=f','thrsk=f'}",{'spcop=f'},1,0
"{'qxmsq=f','reskd=f','skach=f','spcop=f','wkna=f'}",{'stlmt=f'},1,0
"{'mulch=f','wkna=f'}",{'stlmt=f'},1,0
"{'mulch=f','spcop=f','wkna=f'}",{'stlmt=f'},1,0
"{'bkon=f','skach=f','stlmt=f','thrsk=f'}",{'spcop=f'},1,0
"{'hdchk=f','thrsk=f','wkna=f'}",{'spcop=f'},1,0
"{'hdchk=f','thrsk=f','wkna=f'}",{'stlmt=f'},1,0
"{'hdchk=f','stlmt=f','thrsk=f','wkna=f'}",{'spcop=f'},1,0
"{'hdchk=f','spcop=f','thrsk=f','wkna=f'}",{'stlmt=f'},1,0
"{'hdchk=f','thrsk=f','wkna=f'}",{'spcop=f'},1,0
"{'bkon=f','reskd=f','wkna=f'}",{'stlmt=f'},1,0
"{'hdchk=f','mulch=f','wkna=f'}",{'stlmt=f'},1,0
"{'skach=f','thrsk=f','wkna=f'}",{'spcop=f'},1,0
"{'skach=f','thrsk=f','wkna=f'}",{'stlmt=f'},1,0
"{'bkon=f','reskd=f','stlmt=f','thrsk=f'}",{'spcop=f'},1,0
"{'bkon=f','reskd=f','spcop=f','wkna=f'}",{'stlmt=f'},1,0
"{'hdchk=f','mulch=f','spcop=f','wkna=f'}",{'stlmt=f'},1,0
"{'skach=f','stlmt=f','thrsk=f','wkna=f'}",{'spcop=f'},1,0
"{'skach=f','spcop=f','thrsk=f','wkna=f'}",{'stlmt=f'},1,0
"{'skach=f','thrsk=f','wkna=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f','reskd=f','skach=f','wkna=f'}",{'stlmt=f'},1,0
"{'hdchk=f','qxmsq=f','reskd=f','skach=f','spcop=f','wkna=f'}",{'stlmt=f'},1,0
"{'bkon=f','hdchk=f','reskd=f','wkna=f'}",{'stlmt=f'},1,0
"{'bkon=f','hdchk=f','skach=f','stlmt=f','thrsk=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f','reskd=f','skach=f','stlmt=f','thrsk=f'}",{'spcop=f'},1,0
"{'rxmsq=f','thrsk=f'}",{'spcop=f'},1,0
"{'mulch=f','skach=f','wkna=f'}",{'stlmt=f'},1,0
"{'reskd=f','thrsk=f','wkna=f'}",{'spcop=f'},1,0
"{'reskd=f','thrsk=f','wkna=f'}",{'stlmt=f'},1,0
"{'skrxp=f','stlmt=f','thrsk=f'}",{'spcop=f'},1,0
"{'reskd=f','stlmt=f','thrsk=f','wkna=f'}",{'spcop=f'},1,0
"{'reskd=f','spcop=f','thrsk=f','wkna=f'}",{'stlmt=f'},1,0
"{'reskd=f','thrsk=f','wkna=f'}",{'spcop=f'},1,0
"{'bkon=f','hdchk=f','reskd=f','spcop=f','wkna=f'}",{'stlmt=f'},1,0
"{'mulch=f','skach=f','spcop=f','wkna=f'}",{'stlmt=f'},1,0
{'skach=f'},{'spcop=f'},1,0
{'hdchk=f'},{'spcop=f'},1,0
{'reskd=f'},{'spcop=f'},1,0
"{'hdchk=f','skach=f'}",{'spcop=f'},1,0
"{'reskd=f','skach=f'}",{'spcop=f'},1,0
"{'hdchk=f','reskd=f'}",{'spcop=f'},1,0
{'stlmt=f'},{'spcop=f'},1,0
"{'hdchk=f','reskd=f','skach=f'}",{'spcop=f'},1,0
"{'skach=f','stlmt=f'}",{'spcop=f'},1,0
"{'hdchk=f','stlmt=f'}",{'spcop=f'},1,0
"{'hdchk=f','skach=f','stlmt=f'}",{'spcop=f'},1,0
"{'reskd=f','stlmt=f'}",{'spcop=f'},1,0
"{'reskd=f','skach=f','stlmt=f'}",{'spcop=f'},1,0
"{'hdchk=f','reskd=f','stlmt=f'}",{'spcop=f'},1,0
"{'hdchk=f','reskd=f','skach=f','stlmt=f'}",{'spcop=f'},1,0
{'qxmsq=f'},{'spcop=f'},1,0
"{'qxmsq=f','skach=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f'}",{'spcop=f'},1,0
{'bkon=f'},{'spcop=f'},1,0
"{'qxmsq=f','reskd=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f','skach=f'}",{'spcop=f'},1,0
"{'bkon=f','hdchk=f'}",{'spcop=f'},1,0
"{'bkon=f','skach=f'}",{'spcop=f'},1,0
"{'qxmsq=f','reskd=f','skach=f'}",{'spcop=f'},1,0
"{'bkon=f','hdchk=f','skach=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f','reskd=f'}",{'spcop=f'},1,0
"{'qxmsq=f','stlmt=f'}",{'spcop=f'},1,0
"{'bkon=f','reskd=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f','reskd=f','skach=f'}",{'spcop=f'},1,0
"{'bkon=f','hdchk=f','reskd=f'}",{'spcop=f'},1,0
"{'qxmsq=f','skach=f','stlmt=f'}",{'spcop=f'},1,0
{'mulch=f'},{'spcop=f'},1,0
"{'bkon=f','reskd=f','skach=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f','stlmt=f'}",{'spcop=f'},1,0
"{'hdchk=f','mulch=f'}",{'spcop=f'},1,0
"{'bkon=f','hdchk=f','reskd=f','skach=f'}",{'spcop=f'},1,0
"{'bkon=f','stlmt=f'}",{'spcop=f'},1,0
"{'mulch=f','skach=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f','skach=f','stlmt=f'}",{'spcop=f'},1,0
"{'hdchk=f','mulch=f','skach=f'}",{'spcop=f'},1,0
"{'qxmsq=f','reskd=f','stlmt=f'}",{'spcop=f'},1,0
"{'bkon=f','hdchk=f','stlmt=f'}",{'spcop=f'},1,0
{'skrxp=f'},{'spcop=f'},1,0
{'wkna=f'},{'spcop=f'},1,0
"{'stlmt=f','wkna=f'}",{'spcop=f'},1,0
{'wkna=f'},{'spcop=f'},1,0
"{'bkon=f','skach=f','stlmt=f'}",{'spcop=f'},1,0
"{'mulch=f','reskd=f'}",{'spcop=f'},1,0
"{'skach=f','skrxp=f'}",{'spcop=f'},1,0
"{'qxmsq=f','reskd=f','skach=f','stlmt=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f','reskd=f','stlmt=f'}",{'spcop=f'},1,0
{'rxmsq=f'},{'spcop=f'},1,0
"{'hdchk=f','wkna=f'}",{'spcop=f'},1,0
"{'hdchk=f','mulch=f','reskd=f'}",{'spcop=f'},1,0
"{'hdchk=f','stlmt=f','wkna=f'}",{'spcop=f'},1,0
"{'hdchk=f','wkna=f'}",{'spcop=f'},1,0
"{'bkon=f','hdchk=f','skach=f','stlmt=f'}",{'spcop=f'},1,0
"{'skach=f','wkna=f'}",{'spcop=f'},1,0
"{'skach=f','stlmt=f','wkna=f'}",{'spcop=f'},1,0
"{'skach=f','wkna=f'}",{'spcop=f'},1,0
"{'mulch=f','reskd=f','skach=f'}",{'spcop=f'},1,0
"{'hdchk=f','skrxp=f'}",{'spcop=f'},1,0
"{'bkon=f','reskd=f','stlmt=f'}",{'spcop=f'},1,0
"{'hdchk=f','mulch=f','reskd=f','skach=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f','reskd=f','skach=f','stlmt=f'}",{'spcop=f'},1,0
"{'rxmsq=f','skach=f'}",{'spcop=f'},1,0
"{'hdchk=f','skach=f','wkna=f'}",{'spcop=f'},1,0
"{'hdchk=f','skach=f','stlmt=f','wkna=f'}",{'spcop=f'},1,0
"{'hdchk=f','skach=f','wkna=f'}",{'spcop=f'},1,0
"{'hdchk=f','skach=f','skrxp=f'}",{'spcop=f'},1,0
"{'bkon=f','hdchk=f','reskd=f','stlmt=f'}",{'spcop=f'},1,0
"{'hdchk=f','rxmsq=f'}",{'spcop=f'},1,0
"{'reskd=f','wkna=f'}",{'spcop=f'},1,0
"{'reskd=f','stlmt=f','wkna=f'}",{'spcop=f'},1,0
"{'reskd=f','wkna=f'}",{'spcop=f'},1,0
"{'reskd=f','skrxp=f'}",{'spcop=f'},1,0
"{'mulch=f','stlmt=f'}",{'spcop=f'},1,0
"{'bkon=f','reskd=f','skach=f','stlmt=f'}",{'spcop=f'},1,0
"{'hdchk=f','mulch=f','stlmt=f'}",{'spcop=f'},1,0
"{'reskd=f','skach=f','skrxp=f'}",{'spcop=f'},1,0
"{'hdchk=f','reskd=f','wkna=f'}",{'spcop=f'},1,0
"{'hdchk=f','reskd=f','stlmt=f','wkna=f'}",{'spcop=f'},1,0
"{'hdchk=f','reskd=f','wkna=f'}",{'spcop=f'},1,0
"{'bkon=f','hdchk=f','reskd=f','skach=f','stlmt=f'}",{'spcop=f'},1,0
"{'qxmsq=f','rxmsq=f'}",{'spcop=f'},1,0
"{'reskd=f','rxmsq=f'}",{'spcop=f'},1,0
"{'hdchk=f','rxmsq=f','skach=f'}",{'spcop=f'},1,0
"{'rxmsq=f','stlmt=f'}",{'spcop=f'},1,0
"{'mulch=f','skach=f','stlmt=f'}",{'spcop=f'},1,0
"{'reskd=f','skach=f','wkna=f'}",{'spcop=f'},1,0
"{'reskd=f','skach=f','stlmt=f','wkna=f'}",{'spcop=f'},1,0
"{'reskd=f','skach=f','wkna=f'}",{'spcop=f'},1,0
"{'hdchk=f','mulch=f','skach=f','stlmt=f'}",{'spcop=f'},1,0
"{'hdchk=f','reskd=f','skrxp=f'}",{'spcop=f'},1,0
"{'bkon=f','qxmsq=f'}",{'spcop=f'},1,0
"{'hdchk=f','reskd=f','skach=f','wkna=f'}",{'spcop=f'},1,0
"{'hdchk=f','reskd=f','skach=f','stlmt=f','wkna=f'}",{'spcop=f'},1,0
"{'hdchk=f','reskd=f','skach=f','wkna=f'}",{'spcop=f'},1,0
"{'qxmsq=f','rxmsq=f','skach=f'}",{'spcop=f'},1,0
"{'reskd=f','rxmsq=f','skach=f'}",{'spcop=f'},1,0
"{'hdchk=f','reskd=f','skach=f','skrxp=f'}",{'spcop=f'},1,0
"{'rxmsq=f','skach=f','stlmt=f'}",{'spcop=f'},1,0
"{'skrxp=f','stlmt=f'}",{'spcop=f'},1,0
"{'hdchk=f','rxmsq=f','stlmt=f'}",{'spcop=f'},1,0
"{'mulch=f','reskd=f','stlmt=f'}",{'spcop=f'},1,0
"{'bkon=f','hdchk=f','qxmsq=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f','rxmsq=f'}",{'spcop=f'},1,0
"{'hdchk=f','reskd=f','rxmsq=f'}",{'spcop=f'},1,0
{'bknwy=f'},{'spcop=f'},1,0
"{'skach=f','skrxp=f','stlmt=f'}",{'spcop=f'},1,0
"{'hdchk=f','mulch=f','reskd=f','stlmt=f'}",{'spcop=f'},1,0
"{'bkon=f','qxmsq=f','skach=f'}",{'spcop=f'},1,0
"{'bknwy=f','hdchk=f'}",{'spcop=f'},1,0
"{'mulch=f','reskd=f','skach=f','stlmt=f'}",{'spcop=f'},1,0
"{'hdchk=f','rxmsq=f','skach=f','stlmt=f'}",{'spcop=f'},1,0
"{'hdchk=f','skrxp=f','stlmt=f'}",{'spcop=f'},1,0
"{'qxmsq=f','reskd=f','rxmsq=f'}",{'spcop=f'},1,0
"{'reskd=f','rxmsq=f','stlmt=f'}",{'spcop=f'},1,0
"{'bkon=f','hdchk=f','qxmsq=f','skach=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f','rxmsq=f','skach=f'}",{'spcop=f'},1,0
"{'hdchk=f','reskd=f','rxmsq=f','skach=f'}",{'spcop=f'},1,0
"{'bknwy=f','skach=f'}",{'spcop=f'},1,0
"{'qxmsq=f','rxmsq=f','stlmt=f'}",{'spcop=f'},1,0
"{'hdchk=f','mulch=f','reskd=f','skach=f','stlmt=f'}",{'spcop=f'},1,0
"{'hdchk=f','skach=f','skrxp=f','stlmt=f'}",{'spcop=f'},1,0
"{'bknwy=f','hdchk=f','skach=f'}",{'spcop=f'},1,0
"{'bkon=f','qxmsq=f','reskd=f'}",{'spcop=f'},1,0
"{'bknwy=f','reskd=f'}",{'spcop=f'},1,0
"{'reskd=f','skrxp=f','stlmt=f'}",{'spcop=f'},1,0
"{'qxmsq=f','reskd=f','rxmsq=f','skach=f'}",{'spcop=f'},1,0
"{'reskd=f','rxmsq=f','skach=f','stlmt=f'}",{'spcop=f'},1,0
"{'qxmsq=f','rxmsq=f','skach=f','stlmt=f'}",{'spcop=f'},1,0
"{'hdchk=f','reskd=f','rxmsq=f','stlmt=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f','rxmsq=f','stlmt=f'}",{'spcop=f'},1,0
"{'bkon=f','hdchk=f','qxmsq=f','reskd=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f','reskd=f','rxmsq=f'}",{'spcop=f'},1,0
"{'reskd=f','skach=f','skrxp=f','stlmt=f'}",{'spcop=f'},1,0
"{'mulch=f','qxmsq=f'}",{'spcop=f'},1,0
"{'bknwy=f','hdchk=f','reskd=f'}",{'spcop=f'},1,0
"{'bkon=f','qxmsq=f','reskd=f','skach=f'}",{'spcop=f'},1,0
"{'bknwy=f','reskd=f','skach=f'}",{'spcop=f'},1,0
"{'hdchk=f','mulch=f','qxmsq=f'}",{'spcop=f'},1,0
"{'hdchk=f','reskd=f','skrxp=f','stlmt=f'}",{'spcop=f'},1,0
"{'hdchk=f','reskd=f','rxmsq=f','skach=f','stlmt=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f','rxmsq=f','skach=f','stlmt=f'}",{'spcop=f'},1,0
"{'qxmsq=f','reskd=f','rxmsq=f','stlmt=f'}",{'spcop=f'},1,0
"{'bkon=f','hdchk=f','qxmsq=f','reskd=f','skach=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f','reskd=f','rxmsq=f','skach=f'}",{'spcop=f'},1,0
"{'bkon=f','qxmsq=f','stlmt=f'}",{'spcop=f'},1,0
"{'mulch=f','qxmsq=f','skach=f'}",{'spcop=f'},1,0
"{'bknwy=f','hdchk=f','reskd=f','skach=f'}",{'spcop=f'},1,0
"{'hdchk=f','reskd=f','skach=f','skrxp=f','stlmt=f'}",{'spcop=f'},1,0
"{'bkon=f','mulch=f'}",{'spcop=f'},1,0
"{'hdchk=f','mulch=f','qxmsq=f','skach=f'}",{'spcop=f'},1,0
"{'bkon=f','hdchk=f','mulch=f'}",{'spcop=f'},1,0
"{'bkon=f','hdchk=f','qxmsq=f','stlmt=f'}",{'spcop=f'},1,0
"{'bknwy=f','stlmt=f'}",{'spcop=f'},1,0
"{'qxmsq=f','skrxp=f'}",{'spcop=f'},1,0
"{'qxmsq=f','wkna=f'}",{'spcop=f'},1,0
"{'qxmsq=f','stlmt=f','wkna=f'}",{'spcop=f'},1,0
"{'qxmsq=f','wkna=f'}",{'spcop=f'},1,0
"{'qxmsq=f','reskd=f','rxmsq=f','skach=f','stlmt=f'}",{'spcop=f'},1,0
"{'bkon=f','qxmsq=f','skach=f','stlmt=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f','reskd=f','rxmsq=f','stlmt=f'}",{'spcop=f'},1,0
"{'bkon=f','mulch=f','skach=f'}",{'spcop=f'},1,0
"{'mulch=f','qxmsq=f','reskd=f'}",{'spcop=f'},1,0
"{'bkon=f','skrxp=f'}",{'spcop=f'},1,0
"{'bknwy=f','hdchk=f','stlmt=f'}",{'spcop=f'},1,0
"{'qxmsq=f','skach=f','skrxp=f'}",{'spcop=f'},1,0
"{'bkon=f','hdchk=f','mulch=f','skach=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f','wkna=f'}",{'spcop=f'},1,0
"{'hdchk=f','mulch=f','qxmsq=f','reskd=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f','stlmt=f','wkna=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f','wkna=f'}",{'spcop=f'},1,0
"{'bkon=f','hdchk=f','qxmsq=f','skach=f','stlmt=f'}",{'spcop=f'},1,0
"{'bkon=f','skach=f','skrxp=f'}",{'spcop=f'},1,0
"{'bknwy=f','skach=f','stlmt=f'}",{'spcop=f'},1,0
"{'qxmsq=f','skach=f','wkna=f'}",{'spcop=f'},1,0
"{'qxmsq=f','skach=f','stlmt=f','wkna=f'}",{'spcop=f'},1,0
"{'qxmsq=f','skach=f','wkna=f'}",{'spcop=f'},1,0
"{'bkon=f','hdchk=f','skrxp=f'}",{'spcop=f'},1,0
"{'mulch=f','qxmsq=f','reskd=f','skach=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f','reskd=f','rxmsq=f','skach=f','stlmt=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f','skrxp=f'}",{'spcop=f'},1,0
"{'bkon=f','qxmsq=f','reskd=f','stlmt=f'}",{'spcop=f'},1,0
"{'bknwy=f','hdchk=f','skach=f','stlmt=f'}",{'spcop=f'},1,0
"{'bkon=f','mulch=f','reskd=f'}",{'spcop=f'},1,0
"{'bkon=f','hdchk=f','skach=f','skrxp=f'}",{'spcop=f'},1,0
"{'hdchk=f','mulch=f','qxmsq=f','reskd=f','skach=f'}",{'spcop=f'},1,0
"{'bkon=f','wkna=f'}",{'spcop=f'},1,0
"{'bkon=f','stlmt=f','wkna=f'}",{'spcop=f'},1,0
"{'bkon=f','wkna=f'}",{'spcop=f'},1,0
"{'bkon=f','hdchk=f','mulch=f','reskd=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f','skach=f','wkna=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f','skach=f','stlmt=f','wkna=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f','skach=f','wkna=f'}",{'spcop=f'},1,0
"{'bknwy=f','reskd=f','stlmt=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f','skach=f','skrxp=f'}",{'spcop=f'},1,0
"{'bkon=f','hdchk=f','wkna=f'}",{'spcop=f'},1,0
"{'bkon=f','hdchk=f','stlmt=f','wkna=f'}",{'spcop=f'},1,0
"{'bkon=f','hdchk=f','wkna=f'}",{'spcop=f'},1,0
"{'bkon=f','hdchk=f','qxmsq=f','reskd=f','stlmt=f'}",{'spcop=f'},1,0
"{'qxmsq=f','reskd=f','wkna=f'}",{'spcop=f'},1,0
"{'qxmsq=f','reskd=f','stlmt=f','wkna=f'}",{'spcop=f'},1,0
"{'qxmsq=f','reskd=f','wkna=f'}",{'spcop=f'},1,0
"{'qxmsq=f','reskd=f','skrxp=f'}",{'spcop=f'},1,0
"{'bknwy=f','hdchk=f','reskd=f','stlmt=f'}",{'spcop=f'},1,0
"{'mulch=f','qxmsq=f','stlmt=f'}",{'spcop=f'},1,0
"{'bkon=f','mulch=f','reskd=f','skach=f'}",{'spcop=f'},1,0
"{'bkon=f','qxmsq=f','reskd=f','skach=f','stlmt=f'}",{'spcop=f'},1,0
"{'bkon=f','hdchk=f','mulch=f','reskd=f','skach=f'}",{'spcop=f'},1,0
"{'bkon=f','skach=f','wkna=f'}",{'spcop=f'},1,0
"{'bkon=f','skach=f','stlmt=f','wkna=f'}",{'spcop=f'},1,0
"{'bkon=f','skach=f','wkna=f'}",{'spcop=f'},1,0
"{'bkon=f','reskd=f','skrxp=f'}",{'spcop=f'},1,0
"{'hdchk=f','mulch=f','qxmsq=f','stlmt=f'}",{'spcop=f'},1,0
"{'qxmsq=f','reskd=f','skach=f','skrxp=f'}",{'spcop=f'},1,0
"{'bkon=f','rxmsq=f'}",{'spcop=f'},1,0
"{'bknwy=f','reskd=f','skach=f','stlmt=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f','reskd=f','wkna=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f','reskd=f','stlmt=f','wkna=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f','reskd=f','wkna=f'}",{'spcop=f'},1,0
"{'bkon=f','hdchk=f','skach=f','wkna=f'}",{'spcop=f'},1,0
"{'bkon=f','hdchk=f','skach=f','stlmt=f','wkna=f'}",{'spcop=f'},1,0
