A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,class_name
0,0,1,0,0,1,0,0,1,0,1,2
0,0,1,0,0,1,1,0,0,0,0,1
1,0,0,1,0,0,0,1,0,1,0,3
0,0,0,0,0,0,0,0,0,1,0,3
0,0,1,1,0,0,0,0,0,0,0,3
0,0,0,1,0,0,0,1,0,1,0,3
0,0,1,0,0,0,0,0,0,0,0,3
0,0,1,1,0,0,1,0,0,0,0,3
0,0,1,1,0,0,0,0,1,1,0,3
0,0,0,0,0,0,1,0,0,0,0,3
0,0,1,0,0,0,0,0,1,0,1,1
0,0,0,0,0,0,0,1,0,0,0,3
0,0,0,0,0,0,0,0,1,1,0,1
0,0,1,0,0,1,0,0,1,1,0,3
0,1,0,1,0,0,0,1,0,1,0,3
1,0,0,0,0,1,0,0,1,0,0,3
0,0,1,0,0,1,1,0,0,0,1,3
0,0,1,0,0,1,0,0,0,0,1,1
0,0,1,0,0,1,0,1,0,0,0,1
0,0,1,1,0,0,0,0,0,0,1,2
0,1,0,0,0,1,0,0,1,0,1,3
0,0,1,1,0,0,1,0,0,0,0,2
0,0,1,0,0,1,0,0,0,1,0,3
0,1,0,1,0,0,0,1,0,0,0,3
1,0,0,0,0,1,1,0,0,0,1,1
0,1,0,0,0,1,0,1,0,0,0,3
0,0,0,0,1,0,0,1,0,0,0,3
1,0,0,1,0,0,1,0,0,0,1,2
0,1,0,1,0,0,0,0,1,0,0,3
0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,1,0,0,0,0,1,0,0,3
0,0,0,0,1,0,1,0,0,0,0,2
0,0,1,0,0,1,0,0,0,0,0,3
0,0,0,0,0,1,0,0,1,0,0,2
0,1,0,0,1,0,0,1,0,1,0,2
0,0,0,0,0,1,0,1,0,1,0,3
0,1,0,1,0,0,0,0,1,0,0,3
0,1,0,0,1,0,0,0,0,1,0,3
0,0,0,0,1,0,0,1,0,0,0,3
1,0,0,0,0,1,0,0,1,0,0,3
1,0,0,0,1,0,1,0,0,1,0,3
0,0,0,0,0,1,0,1,0,0,1,3
0,0,1,1,0,0,0,0,0,1,0,3
1,0,0,1,0,0,0,0,1,0,1,1
0,0,0,0,1,0,0,0,0,0,0,1
0,1,0,0,0,1,0,1,0,0,1,3
0,0,0,0,1,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,3
0,0,1,1,0,0,0,0,1,1,0,3
1,0,0,0,0,0,0,0,0,1,0,2
0,0,1,0,0,0,0,0,0,1,0,1
0,1,0,0,0,0,0,0,0,0,0,2
0,0,1,0,1,0,0,0,1,0,0,3
0,0,0,0,1,0,1,0,0,0,0,2
0,0,0,0,1,0,0,0,0,0,1,2
0,0,1,0,0,0,0,1,0,0,0,3
1,0,0,0,1,0,0,1,0,0,0,3
0,1,0,0,0,0,0,0,0,0,0,3
0,0,1,0,0,1,0,0,1,0,0,3
0,0,1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,1,0,1,0,0,1,2
1,0,0,1,0,0,0,0,1,0,0,2
0,0,1,0,0,0,0,0,0,0,0,2
1,0,0,1,0,0,0,1,0,0,0,3
0,0,0,0,0,0,0,0,1,0,0,2
0,1,0,1,0,0,0,1,0,0,0,3
0,0,0,0,0,0,1,0,0,0,0,3
0,1,0,1,0,0,0,0,1,0,1,2
0,0,0,0,1,0,1,0,0,0,0,1
0,1,0,0,1,0,1,0,0,0,0,1
0,1,0,0,1,0,0,0,0,0,0,1
0,0,1,0,0,1,1,0,0,0,0,3
0,0,0,0,1,0,0,0,0,0,0,3
0,1,0,0,0,0,0,0,1,0,0,3
0,1,0,1,0,0,0,0,1,0,1,3
0,0,1,0,1,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1,0,0,3
0,0,0,0,1,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,1,0,1,2
0,0,0,0,0,1,0,0,0,1,0,3
0,0,1,0,0,1,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,0,3
1,0,0,1,0,0,0,1,0,1,0,3
0,1,0,0,0,1,0,0,1,1,0,3
1,0,0,1,0,0,0,0,1,0,0,1
1,0,0,0,1,0,0,1,0,0,0,3
0,0,1,0,0,0,0,0,1,0,0,1
1,0,0,0,1,0,1,0,0,1,0,3
0,1,0,1,0,0,0,0,1,0,0,3
0,0,1,0,1,0,0,1,0,0,0,3
1,0,0,0,0,0,0,0,1,1,0,3
0,0,1,0,1,0,0,1,0,0,1,3
0,0,0,1,0,0,0,1,0,1,0,1
1,0,0,0,0,0,1,0,0,0,0,3
1,0,0,0,0,0,1,0,0,0,0,3
1,0,0,0,0,0,1,0,0,0,1,1
1,0,0,1,0,0,0,0,1,0,1,1
0,0,1,0,0,1,0,0,1,1,0,3
1,0,0,0,1,0,1,0,0,0,0,3
0,0,0,0,0,0,0,0,0,1,0,3
0,0,1,1,0,0,0,0,1,1,0,3
0,0,1,1,0,0,1,0,0,1,0,1
0,0,0,0,1,0,0,0,0,0,0,2
0,0,0,1,0,0,1,0,0,1,0,2
1,0,0,0,0,0,0,1,0,0,0,1
0,0,1,0,1,0,1,0,0,1,0,3
0,0,0,1,0,0,1,0,0,0,0,3
0,0,0,0,0,0,0,1,0,0,1,2
1,0,0,0,0,1,0,0,1,0,0,3
0,1,0,1,0,0,0,1,0,0,0,3
1,0,0,0,0,1,0,0,1,0,0,2
0,0,1,1,0,0,0,0,0,0,1,3
0,0,1,0,0,1,0,1,0,0,1,2
0,0,1,1,0,0,0,0,0,0,0,1
0,0,1,0,0,1,1,0,0,0,0,3
1,0,0,0,0,0,0,0,1,0,1,2
0,0,0,0,1,0,0,1,0,0,1,3
0,0,1,0,0,1,1,0,0,0,0,3
0,0,1,0,1,0,0,1,0,0,0,2
1,0,0,1,0,0,0,1,0,1,0,3
0,0,1,0,0,1,1,0,0,0,1,2
0,0,1,0,1,0,1,0,0,0,0,3
0,1,0,0,0,0,0,0,1,1,0,3
0,1,0,1,0,0,0,0,1,0,0,3
0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,1,0,0,1,1,0,3
0,0,1,0,0,0,1,0,0,0,0,3
0,0,1,0,0,1,0,1,0,0,0,3
0,0,0,0,0,1,1,0,0,0,1,3
0,0,1,1,0,0,0,0,1,0,0,1
0,0,1,0,0,1,1,0,0,0,1,1
0,0,0,0,0,1,1,0,0,0,0,1
1,0,0,0,0,1,0,1,0,0,1,3
0,0,1,0,0,0,0,1,0,1,0,2
1,0,0,0,1,0,0,0,0,0,0,1
0,0,1,0,0,1,1,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,0,3
1,0,0,1,0,0,1,0,0,0,0,1
0,0,1,0,0,1,1,0,0,1,0,3
0,0,1,1,0,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,0,0,1,3
0,1,0,0,1,0,0,0,0,0,0,3
0,1,0,1,0,0,0,0,0,1,0,3
0,1,0,0,0,0,0,0,1,0,0,3
0,0,1,0,0,1,0,0,1,0,1,2
1,0,0,1,0,0,0,1,0,0,0,3
0,1,0,0,0,0,0,0,0,0,0,2
0,0,1,0,0,0,0,0,1,0,1,1
0,0,1,0,0,1,0,0,1,0,1,1
0,1,0,1,0,0,1,0,0,0,0,3
0,1,0,0,0,0,0,1,0,0,0,3
0,1,0,0,1,0,0,0,1,0,1,1
0,0,0,0,1,0,0,1,0,1,0,1
0,0,0,0,0,1,0,0,0,0,0,3
1,0,0,0,0,0,0,1,0,0,0,2
0,0,1,0,0,1,0,1,0,1,0,3
0,1,0,0,0,1,0,1,0,0,0,3
0,1,0,1,0,0,0,0,0,1,0,2
0,1,0,1,0,0,0,1,0,0,0,1
1,0,0,0,1,0,0,1,0,0,1,1
1,0,0,0,0,1,0,0,1,0,0,3
0,0,1,0,0,0,0,0,1,1,0,3
1,0,0,0,0,1,0,0,0,0,1,3
0,0,0,0,1,0,0,0,0,0,0,2
0,0,0,0,0,0,1,0,0,0,1,3
1,0,0,0,0,0,0,0,0,0,0,3
0,1,0,1,0,0,0,0,1,1,0,3
0,0,0,0,0,1,0,0,1,0,1,2
0,1,0,0,0,0,0,0,1,0,0,3
0,0,1,0,0,0,0,0,1,0,1,3
0,0,0,0,0,1,0,0,0,0,0,2
0,0,1,0,1,0,1,0,0,0,1,3
0,0,0,1,0,0,0,0,0,1,0,2
1,0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,1,0,0,1,0,0,0,3
0,0,0,0,1,0,0,0,0,0,0,3
1,0,0,0,0,0,0,1,0,0,1,3
0,0,0,0,0,0,0,0,1,0,1,3
0,0,0,1,0,0,0,0,1,0,1,1
0,1,0,0,0,0,1,0,0,1,0,2
0,1,0,1,0,0,0,1,0,1,0,3
0,0,1,0,0,0,0,1,0,1,0,3
0,0,1,0,1,0,0,1,0,0,0,1
0,0,0,0,0,1,1,0,0,0,1,2
0,0,1,1,0,0,1,0,0,1,0,3
0,1,0,0,1,0,1,0,0,0,0,1
0,1,0,0,0,0,0,1,0,0,0,3
0,1,0,0,0,0,0,0,0,1,0,3
0,0,0,1,0,0,1,0,0,0,0,3
0,0,0,0,0,0,0,0,1,1,0,2
0,0,0,0,1,0,0,0,0,0,0,3
0,0,1,1,0,0,1,0,0,0,0,1
0,1,0,1,0,0,0,1,0,0,1,3
1,0,0,0,0,1,0,1,0,0,0,3
0,0,1,0,0,1,0,1,0,0,0,3
0,1,0,0,0,0,1,0,0,0,1,3
0,0,0,0,1,0,0,0,0,0,0,1
0,0,1,0,0,1,0,0,0,0,1,2
0,1,0,0,0,0,0,0,0,0,0,3
1,0,0,0,1,0,0,1,0,0,1,1
0,1,0,0,0,0,0,0,1,0,0,2
0,0,1,0,0,1,0,1,0,0,1,3
0,0,0,0,0,0,0,1,0,1,0,3
0,1,0,0,1,0,0,0,1,1,0,2
0,0,0,0,0,1,0,1,0,0,0,3
1,0,0,0,0,1,1,0,0,1,0,1
1,0,0,1,0,0,0,0,0,0,0,2
0,1,0,0,1,0,0,0,1,0,0,3
0,0,0,0,0,0,0,1,0,0,0,2
1,0,0,1,0,0,0,0,1,0,1,1
1,0,0,1,0,0,0,0,1,0,0,1
0,0,0,0,0,1,0,0,0,0,0,3
1,0,0,0,0,1,1,0,0,0,0,3
0,0,1,0,0,0,0,0,0,1,0,3
1,0,0,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,1,0,0,0,1,1
1,0,0,0,0,1,0,0,0,0,0,1
0,0,1,1,0,0,1,0,0,0,0,3
1,0,0,1,0,0,1,0,0,1,0,3
0,0,0,0,0,1,0,1,0,0,0,1
1,0,0,0,0,1,0,1,0,0,1,3
0,0,0,0,0,1,0,0,1,1,0,3
0,0,0,0,1,0,0,0,0,0,0,3
0,0,1,0,1,0,1,0,0,1,0,2
0,1,0,0,1,0,0,0,0,0,1,2
0,0,1,0,0,1,0,0,1,0,1,1
0,0,1,1,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,1,0,3
1,0,0,1,0,0,0,0,1,0,1,3
0,1,0,1,0,0,0,0,0,0,1,2
0,0,0,0,0,0,0,1,0,1,0,3
0,0,0,1,0,0,0,0,0,1,0,2
1,0,0,0,0,1,0,0,1,0,1,1
0,0,1,0,0,0,0,1,0,0,0,3
1,0,0,0,1,0,0,1,0,0,1,3
0,1,0,1,0,0,1,0,0,0,1,3
0,1,0,0,1,0,0,0,1,0,0,3
0,0,1,0,0,1,1,0,0,0,1,2
0,1,0,0,1,0,0,0,1,0,1,3
0,1,0,0,0,0,0,1,0,1,0,2
0,0,0,0,0,1,0,0,0,0,0,3
0,1,0,0,0,0,0,1,0,1,0,2
0,0,1,1,0,0,1,0,0,1,0,3
1,0,0,0,0,0,0,0,1,1,0,1
0,1,0,1,0,0,0,1,0,0,0,2
0,0,1,1,0,0,0,0,0,0,0,3
1,0,0,0,0,0,0,0,0,0,0,3
0,0,1,0,0,0,0,0,0,0,1,3
0,0,1,0,0,0,0,0,0,0,1,3
0,0,1,1,0,0,0,0,1,0,0,3
0,0,0,0,0,1,0,0,0,0,1,2
0,1,0,0,0,0,1,0,0,0,0,1
1,0,0,0,0,1,1,0,0,0,1,2
1,0,0,0,0,0,0,1,0,0,0,3
0,0,0,0,1,0,1,0,0,1,0,3
0,0,0,1,0,0,0,0,1,0,1,3
1,0,0,0,0,0,0,0,1,0,0,2
0,0,0,1,0,0,0,1,0,0,1,2
0,0,0,0,0,1,1,0,0,1,0,1
0,0,1,0,0,1,1,0,0,0,1,1
1,0,0,0,0,1,0,0,1,1,0,3
1,0,0,0,0,0,0,1,0,1,0,3
0,0,0,0,1,0,0,0,0,0,1,1
0,0,0,0,1,0,0,1,0,0,1,3
1,0,0,1,0,0,1,0,0,0,1,3
1,0,0,1,0,0,0,0,1,0,0,3
0,0,1,1,0,0,0,0,0,0,0,3
0,1,0,0,0,0,0,0,1,0,0,3
0,0,0,0,0,1,0,0,0,1,0,3
0,0,1,0,0,1,0,1,0,0,0,1
0,0,1,0,0,1,1,0,0,1,0,1
0,1,0,0,1,0,0,1,0,0,1,3
1,0,0,0,0,1,1,0,0,1,0,1
0,1,0,0,0,0,0,0,1,0,0,3
0,0,0,0,0,1,0,0,1,0,0,1
0,0,1,0,0,1,0,1,0,1,0,3
1,0,0,1,0,0,1,0,0,0,0,3
0,0,0,0,1,0,0,1,0,0,0,2
0,1,0,0,1,0,0,1,0,0,1,2
0,0,0,1,0,0,0,1,0,0,0,2
1,0,0,0,0,0,0,0,0,1,0,3
0,1,0,0,1,0,0,0,0,0,0,1
0,0,0,0,1,0,0,1,0,0,1,2
0,0,1,1,0,0,0,0,1,0,1,3
0,0,0,0,1,0,0,1,0,0,1,2
0,1,0,0,1,0,0,0,0,1,0,1
0,1,0,0,1,0,0,0,0,0,0,2
1,0,0,0,1,0,0,1,0,0,0,3
1,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,1,1,0,0,0,1,2
0,0,1,0,1,0,0,0,0,0,1,1
0,1,0,1,0,0,0,0,1,0,1,1
0,0,1,0,0,1,0,0,0,0,0,3
1,0,0,1,0,0,0,1,0,0,0,3
0,1,0,1,0,0,0,1,0,0,1,3
1,0,0,0,0,0,0,1,0,0,1,2
1,0,0,0,0,1,0,0,0,1,0,3
0,0,0,0,0,0,0,1,0,0,1,1
0,1,0,0,1,0,0,0,1,0,1,2
0,0,1,1,0,0,1,0,0,0,0,2
1,0,0,0,1,0,0,1,0,0,1,2
0,0,1,0,0,0,0,0,1,0,0,1
0,1,0,1,0,0,0,0,1,0,1,3
0,0,0,0,1,0,0,1,0,0,1,3
0,0,1,0,0,0,0,0,1,0,0,3
0,0,1,1,0,0,0,1,0,0,1,1
1,0,0,0,0,1,0,1,0,0,1,3
0,0,1,0,0,1,1,0,0,0,0,3
0,0,1,1,0,0,0,0,1,0,0,1
1,0,0,0,0,0,1,0,0,0,1,3
0,0,0,1,0,0,1,0,0,1,0,3
0,1,0,0,0,1,1,0,0,0,0,1
0,0,1,0,1,0,1,0,0,0,0,1
1,0,0,1,0,0,1,0,0,0,0,3
0,1,0,1,0,0,0,0,0,0,0,3
0,0,1,0,0,1,0,0,1,0,1,3
1,0,0,1,0,0,1,0,0,0,0,3
1,0,0,0,0,1,0,0,1,0,0,3
0,0,1,0,1,0,0,0,0,0,1,2
0,0,1,0,1,0,0,0,0,1,0,3
0,1,0,0,1,0,0,0,0,0,0,3
0,0,1,1,0,0,0,0,1,0,0,2
1,0,0,0,1,0,0,0,1,0,0,3
0,1,0,0,1,0,0,0,0,0,0,3
0,0,1,0,0,1,1,0,0,0,0,3
0,0,1,0,0,0,1,0,0,0,0,1
0,0,1,0,0,1,0,0,1,0,0,2
0,1,0,0,1,0,0,1,0,0,0,1
0,0,1,0,0,1,0,0,1,1,0,2
0,0,1,0,0,1,1,0,0,0,0,1
1,0,0,0,1,0,1,0,0,1,0,2
1,0,0,0,1,0,1,0,0,0,0,3
0,0,1,0,1,0,0,0,0,0,0,3
0,1,0,0,1,0,0,1,0,0,0,1
0,0,1,0,0,1,0,1,0,1,0,3
0,0,0,0,0,1,0,0,1,0,1,2
0,0,1,0,1,0,0,0,0,0,1,2
1,0,0,0,1,0,0,0,0,0,1,1
0,0,0,1,0,0,0,0,1,1,0,3
0,0,1,0,1,0,0,0,0,0,0,2
0,0,0,0,0,1,0,0,0,0,0,3
0,0,1,0,0,0,0,0,1,0,0,3
1,0,0,1,0,0,1,0,0,0,0,3
1,0,0,0,1,0,0,0,0,0,1,2
0,0,0,1,0,0,1,0,0,1,0,3
1,0,0,1,0,0,0,0,1,0,1,1
0,0,1,1,0,0,0,0,1,0,0,1
0,0,0,0,0,1,0,0,1,1,0,3
0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,1,0,0,0,2
0,0,0,0,0,0,0,0,0,0,1,3
0,0,0,0,1,0,1,0,0,0,0,3
0,0,0,0,1,0,0,0,0,0,0,1
0,1,0,0,1,0,1,0,0,0,1,2
1,0,0,1,0,0,0,0,1,0,0,3
1,0,0,0,1,0,0,1,0,1,0,3
0,0,0,0,0,1,0,1,0,0,0,3
1,0,0,0,1,0,0,0,0,0,0,3
0,1,0,0,1,0,0,1,0,0,0,1
0,0,1,0,0,1,1,0,0,0,0,3
1,0,0,0,0,0,0,0,0,0,1,3
1,0,0,0,0,0,0,0,0,0,0,3
0,0,1,0,0,1,1,0,0,0,1,1
0,0,1,0,0,1,0,0,1,0,0,3
0,1,0,0,1,0,0,1,0,0,1,3
0,0,0,0,0,1,0,0,0,0,0,3
1,0,0,0,0,1,0,1,0,0,0,3
0,0,0,0,0,1,1,0,0,0,0,3
0,0,0,0,0,0,1,0,0,0,0,2
0,0,0,0,0,1,0,0,1,1,0,2
0,1,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,2
0,1,0,0,0,0,0,0,1,1,0,1
0,0,1,1,0,0,1,0,0,0,1,3
1,0,0,0,0,1,0,0,1,0,0,3
0,0,0,0,0,0,0,1,0,0,0,3
1,0,0,0,1,0,1,0,0,0,0,3
0,1,0,0,1,0,0,1,0,0,1,2
0,0,0,1,0,0,0,1,0,0,0,3
0,0,1,1,0,0,0,1,0,0,1,1
1,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,1,0,0,1,0,1,0,3
0,1,0,1,0,0,0,1,0,1,0,2
0,1,0,0,0,0,0,0,1,0,0,3
0,0,1,0,0,0,1,0,0,0,0,3
0,0,0,0,0,1,1,0,0,0,1,2
0,0,1,0,1,0,0,1,0,0,1,3
0,1,0,0,0,1,0,0,0,0,0,1
0,1,0,0,1,0,0,1,0,0,0,2
0,1,0,1,0,0,0,0,1,0,1,3
0,0,0,1,0,0,0,0,1,0,0,3
0,0,1,0,0,1,0,0,1,0,1,1
0,0,1,1,0,0,0,0,0,0,1,3
0,1,0,1,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,3
0,0,0,0,0,1,1,0,0,0,0,3
1,0,0,1,0,0,0,0,1,1,0,2
0,0,1,0,1,0,0,1,0,0,1,3
1,0,0,0,1,0,0,0,0,1,0,1
0,1,0,0,1,0,0,1,0,0,1,2
0,1,0,0,1,0,0,1,0,0,0,2
0,0,0,0,1,0,0,0,0,0,0,3
0,1,0,1,0,0,1,0,0,0,0,1
0,1,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,1,0,0,2
0,0,1,0,0,1,0,0,1,0,1,3
1,0,0,0,1,0,0,1,0,1,0,3
0,0,1,1,0,0,1,0,0,0,0,3
1,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,0,0,0,0,1,3
1,0,0,0,1,0,0,0,0,0,1,2
0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,1,1,0,1
0,1,0,1,0,0,0,1,0,0,1,2
0,1,0,1,0,0,1,0,0,1,0,1
0,1,0,0,1,0,1,0,0,0,0,2
0,0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,0,0,1,0,0,1,0,2
0,0,1,1,0,0,0,0,1,0,1,3
0,1,0,0,1,0,0,1,0,1,0,3
0,0,0,0,1,0,1,0,0,1,0,3
0,0,0,0,1,0,0,0,0,0,1,3
1,0,0,1,0,0,0,0,1,0,1,1
0,0,1,1,0,0,0,0,1,1,0,3
0,0,1,0,1,0,1,0,0,0,1,2
0,1,0,1,0,0,0,0,1,0,1,2
0,0,0,0,0,1,0,0,1,0,0,2
1,0,0,1,0,0,0,0,1,0,1,3
0,1,0,0,0,0,1,0,0,0,1,3
1,0,0,1,0,0,0,0,0,0,0,3
0,0,1,0,0,0,0,0,1,0,0,3
0,0,1,1,0,0,0,0,1,0,0,2
0,0,1,0,0,0,0,0,1,1,0,1
0,0,0,1,0,0,0,1,0,1,0,3
0,0,0,0,1,0,0,0,1,0,0,1
0,1,0,0,1,0,0,0,0,1,0,3
1,0,0,0,0,0,0,0,1,1,0,3
0,1,0,1,0,0,0,1,0,1,0,2
1,0,0,1,0,0,0,1,0,1,0,2
0,0,0,0,1,0,1,0,0,0,0,3
0,0,1,0,0,0,0,0,0,1,0,2
0,0,0,0,0,1,1,0,0,1,0,1
0,0,0,0,0,1,0,1,0,0,0,1
0,1,0,0,1,0,0,1,0,0,1,3
0,1,0,1,0,0,0,1,0,0,0,3
0,0,0,1,0,0,0,0,0,0,0,1
1,0,0,0,1,0,0,1,0,1,0,1
0,1,0,0,1,0,1,0,0,0,0,3
0,0,1,0,0,1,1,0,0,0,1,1
0,1,0,0,0,0,0,0,0,0,0,3
0,1,0,1,0,0,0,0,1,0,1,1
0,0,1,0,0,0,0,0,0,0,1,3
1,0,0,0,0,0,0,0,1,0,1,2
1,0,0,0,1,0,1,0,0,0,0,3
0,1,0,1,0,0,0,0,1,0,1,1
0,0,0,0,0,1,0,0,1,0,0,3
0,1,0,0,1,0,0,0,0,1,0,3
0,0,1,0,1,0,0,0,0,0,1,1
0,0,0,0,1,0,1,0,0,1,0,2
0,1,0,0,0,1,0,0,1,1,0,2
1,0,0,0,0,1,0,0,1,1,0,3
1,0,0,0,0,1,0,0,1,1,0,3
0,0,1,1,0,0,0,0,0,0,1,1
1,0,0,1,0,0,1,0,0,1,0,2
0,0,0,0,0,1,0,0,0,0,0,3
0,0,0,0,0,0,0,0,1,0,1,3
0,0,0,0,1,0,0,1,0,0,0,3
0,0,0,1,0,0,1,0,0,0,0,2
0,0,1,0,0,0,0,0,1,0,1,2
0,0,0,0,0,0,0,0,1,0,1,1
0,0,1,0,0,1,1,0,0,1,0,3
0,0,1,0,0,1,0,0,0,0,0,1
1,0,0,0,1,0,0,1,0,0,0,1
0,0,0,0,1,0,0,1,0,0,0,2
0,0,1,0,0,1,1,0,0,0,0,3
0,0,0,1,0,0,0,1,0,0,1,3
0,0,0,0,1,0,0,1,0,0,1,2
0,0,1,1,0,0,0,1,0,0,0,3
0,0,0,0,1,0,0,0,1,0,0,2
0,1,0,0,0,0,0,0,1,0,1,1
0,0,0,1,0,0,1,0,0,0,1,3
0,0,0,0,1,0,1,0,0,1,0,2
0,0,0,0,0,1,0,0,1,0,1,3
1,0,0,1,0,0,0,0,0,1,0,1
0,1,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,1,0,0,0,3
0,0,1,0,1,0,0,0,0,0,0,3
1,0,0,0,0,1,0,0,1,0,1,3
1,0,0,0,1,0,0,1,0,0,1,3
0,0,1,1,0,0,1,0,0,0,0,1
0,0,1,1,0,0,0,0,1,0,1,3
0,0,0,1,0,0,0,0,0,1,0,3
0,0,1,0,0,1,1,0,0,1,0,1
1,0,0,0,0,1,0,0,1,1,0,2
0,1,0,0,1,0,0,0,0,1,0,3
0,0,0,0,0,0,0,0,1,0,0,3
0,0,1,1,0,0,0,0,0,0,0,3
0,1,0,0,0,1,0,1,0,1,0,3
0,0,1,1,0,0,0,0,0,0,0,3
0,0,1,0,0,1,0,1,0,0,0,2
0,1,0,0,0,0,0,0,1,0,1,3
1,0,0,0,0,0,0,0,1,0,1,2
0,0,1,0,1,0,0,1,0,0,0,3
0,1,0,0,0,1,0,1,0,0,1,2
0,1,0,1,0,0,0,0,0,0,1,3
0,0,1,0,0,1,0,1,0,0,0,3
0,0,0,0,0,1,0,0,1,1,0,3
0,1,0,0,0,1,0,0,0,0,0,3
0,0,1,1,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,1,1
0,1,0,1,0,0,1,0,0,0,0,2
1,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,2
0,1,0,0,0,0,0,1,0,0,1,3
1,0,0,0,0,1,0,0,1,0,1,2
0,1,0,0,1,0,0,1,0,1,0,1
0,0,1,0,0,1,0,1,0,0,0,1
0,0,1,0,1,0,1,0,0,1,0,3
0,0,1,0,0,1,0,0,1,0,0,2
0,0,1,1,0,0,1,0,0,0,0,3
0,0,0,0,0,0,0,0,1,0,0,2
0,0,1,0,0,0,0,0,1,1,0,3
1,0,0,1,0,0,1,0,0,1,0,3
0,1,0,0,0,0,0,1,0,1,0,2
1,0,0,1,0,0,0,0,0,1,0,3
0,0,1,0,1,0,1,0,0,0,1,3
0,0,1,0,0,0,1,0,0,0,0,3
0,1,0,1,0,0,0,0,1,0,1,2
0,1,0,0,1,0,0,1,0,1,0,3
0,0,1,1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,1,0,0,0,0,3
