id,bkblk,bknwy,bkon8,bkona,bkspr,bkxbq,bkxcr,bkxwp,blxwp,bxqsq,cntxt,dsopp,dwipd,hdchk,katri,mulch,qxmsq,class_name
59,f,f,f,f,t,t,t,f,f,t,t,f,l,f,n,f,f,nowin
60,t,f,f,f,f,f,f,f,f,f,t,f,l,f,n,f,f,won
61,f,f,f,f,f,f,f,f,f,f,f,f,l,f,n,f,f,nowin
62,f,f,f,f,f,t,f,f,f,t,t,f,l,f,w,f,f,won
63,f,f,f,t,t,t,f,f,t,f,f,f,l,f,n,f,f,nowin
64,f,f,f,f,f,f,f,f,f,f,f,f,g,f,n,f,f,won
65,f,f,t,f,f,t,t,f,f,f,f,f,l,f,n,f,f,won
66,f,f,f,f,t,f,t,t,t,f,f,f,g,f,n,f,f,won
67,t,t,f,f,f,f,f,f,f,f,t,f,l,f,b,f,f,won
68,f,f,f,f,f,f,f,f,f,t,f,f,g,f,n,f,f,nowin
69,f,t,f,f,t,f,f,f,t,f,f,f,l,f,n,t,f,won
70,f,f,f,f,f,t,f,f,f,f,f,f,l,f,n,f,f,won
71,f,f,t,f,t,f,t,t,t,t,f,f,g,f,n,f,f,nowin
72,f,f,f,f,f,t,f,f,f,f,t,f,l,f,n,f,f,won
73,f,f,f,f,f,f,f,f,f,f,f,f,l,f,n,f,f,nowin
74,f,f,f,f,f,t,t,t,t,t,t,f,l,f,n,f,f,nowin
75,f,f,f,f,f,f,f,f,f,f,f,f,l,f,n,f,f,won
76,f,f,f,f,f,t,t,t,t,f,f,f,l,f,n,f,f,nowin
77,f,f,f,f,f,f,f,f,f,t,f,t,g,f,n,f,f,nowin
78,f,f,f,f,t,f,f,f,f,f,f,f,g,f,n,f,f,won
79,f,f,f,f,f,f,f,f,f,f,f,t,l,f,n,f,f,nowin
80,f,f,f,t,f,f,f,f,f,f,f,f,l,f,w,f,f,nowin
81,f,f,f,f,f,t,f,f,t,f,f,f,l,f,n,f,f,nowin
82,f,f,f,t,t,t,t,t,t,t,f,f,g,f,n,f,f,nowin
83,f,f,t,f,t,t,t,f,f,f,f,f,g,f,n,f,f,nowin
84,f,f,f,f,f,f,t,t,t,f,t,t,l,f,n,f,f,nowin
85,f,f,f,f,t,t,t,f,f,f,f,f,l,f,n,f,f,won
86,f,f,f,f,t,t,t,f,f,t,t,f,l,f,w,f,f,won
87,f,f,f,f,f,t,f,f,f,f,f,f,l,f,n,f,f,nowin
88,t,f,f,t,f,f,t,t,t,t,t,f,l,f,n,t,f,nowin
89,f,f,f,f,f,f,f,f,f,t,f,f,l,f,n,f,f,won
90,f,t,f,f,f,f,f,f,f,t,t,f,l,f,n,t,f,nowin
91,f,f,f,f,f,t,t,f,f,f,t,f,l,f,w,f,f,won
92,f,f,f,t,f,t,f,f,f,f,t,f,l,f,n,f,f,won
93,f,f,f,f,f,f,f,f,f,f,f,t,g,f,n,f,f,won
94,f,f,f,f,f,t,f,f,f,f,t,f,l,f,n,f,f,won
95,f,t,f,f,f,f,f,f,f,t,t,f,l,f,n,f,f,nowin
96,f,f,f,f,f,f,f,f,f,f,t,f,l,f,w,f,f,won
97,f,f,f,f,t,t,t,t,t,f,f,f,l,f,n,f,f,won
98,f,f,f,f,f,f,f,f,t,f,f,t,l,f,n,f,f,nowin
99,f,f,f,f,f,f,t,t,t,f,f,t,g,f,n,f,f,nowin
100,f,f,f,f,t,f,t,t,t,f,t,f,g,f,n,f,f,nowin
101,f,f,f,f,f,t,t,t,t,t,f,f,l,f,n,f,f,nowin
102,f,f,f,f,f,f,f,f,t,f,f,f,l,f,n,f,f,nowin
103,f,f,f,f,t,t,t,f,f,t,f,f,l,f,n,f,f,nowin
104,f,f,f,f,t,t,t,f,t,f,f,f,g,f,n,f,f,nowin
105,f,f,f,f,f,t,t,f,f,f,t,t,l,f,w,f,f,won
106,f,f,f,f,f,t,f,f,t,f,f,f,l,f,n,f,f,won
107,f,f,f,f,t,t,t,t,t,f,f,f,g,f,n,f,f,won
108,f,f,f,f,f,f,t,t,t,t,f,f,l,f,n,f,f,nowin
109,f,f,f,f,f,t,f,f,f,f,f,f,l,f,n,f,f,won
110,f,f,f,f,f,f,f,f,f,f,f,f,g,f,n,f,f,nowin
111,f,f,f,f,f,f,f,f,f,f,f,f,l,f,n,f,f,won
112,f,f,f,f,f,t,f,t,t,t,t,f,l,f,n,f,f,nowin
113,f,f,f,f,f,t,t,f,f,f,t,f,l,f,n,f,f,nowin
114,f,f,f,f,f,t,f,f,t,f,t,f,l,f,w,f,f,won
115,f,f,f,f,t,f,f,f,t,f,f,f,g,f,n,f,f,nowin
116,f,t,f,f,f,f,f,f,t,f,t,f,l,f,n,t,f,won
117,f,f,f,f,f,f,f,f,t,f,f,f,g,f,n,f,f,nowin
118,f,f,f,f,t,f,t,t,t,f,t,f,g,f,b,f,f,nowin
119,f,f,f,f,f,t,f,f,t,f,t,f,g,f,n,f,f,won
120,f,f,f,f,f,f,f,f,f,f,f,f,g,f,n,f,f,won
121,f,f,f,f,f,t,f,f,f,t,t,f,l,f,b,f,f,nowin
122,f,f,f,f,f,f,f,f,t,f,t,f,l,f,w,f,f,won
123,f,f,f,f,f,t,f,f,f,f,f,f,l,f,n,f,f,won
124,f,f,f,f,t,t,f,f,f,f,f,f,g,f,n,f,f,won
125,f,t,f,f,f,t,f,f,f,t,f,f,l,f,n,f,f,won
126,f,f,f,f,t,t,t,f,f,t,f,f,l,f,n,f,f,nowin
127,f,t,f,t,f,t,f,f,t,f,t,f,l,f,w,f,f,won
128,f,f,f,f,t,t,t,f,t,f,f,f,g,f,n,f,f,nowin
129,f,f,f,f,f,t,f,f,f,t,f,f,g,f,n,f,f,nowin
130,t,f,f,f,t,t,t,t,t,f,t,f,g,f,n,f,f,won
131,f,f,f,f,f,f,f,f,f,f,t,t,l,f,w,f,t,won
132,f,f,f,f,f,f,f,f,t,f,t,f,l,f,n,f,f,won
133,f,t,f,f,f,f,f,f,f,t,t,f,l,f,w,t,f,nowin
134,f,f,f,f,t,f,t,t,t,f,f,f,l,f,n,f,f,won
135,f,t,f,f,f,t,f,f,t,f,f,f,l,f,n,t,f,won
136,f,t,f,t,f,f,f,f,f,t,f,f,l,f,n,t,f,nowin
137,f,f,f,f,t,f,t,t,t,t,f,f,l,f,n,f,f,nowin
138,f,f,f,f,t,t,t,f,f,f,f,f,l,f,n,f,f,nowin
139,f,f,f,f,f,t,t,t,t,f,t,f,l,f,w,f,f,won
140,f,f,f,f,t,t,t,f,f,t,f,f,g,f,n,f,f,nowin
141,f,f,f,f,f,t,t,f,f,t,t,f,g,f,n,f,f,nowin
142,f,f,f,f,f,t,f,f,f,f,t,f,l,f,w,f,f,won
143,f,f,f,f,f,f,f,f,f,f,t,f,l,f,n,f,f,won
144,f,f,f,f,f,f,f,f,f,t,t,f,l,f,w,f,f,won
145,f,f,f,f,t,f,t,t,t,t,f,f,g,f,n,f,f,nowin
146,f,f,f,f,t,f,t,t,t,t,f,f,g,f,n,f,f,nowin
147,f,f,f,t,t,t,f,f,f,f,f,f,l,f,n,f,f,won
148,f,f,f,f,f,f,f,f,t,f,t,f,l,f,n,f,f,nowin
149,f,f,f,f,t,f,t,f,f,t,t,f,l,f,w,f,f,nowin
150,f,f,f,f,f,t,f,f,f,f,f,t,l,f,n,f,f,won
151,f,f,f,f,f,f,f,f,t,f,f,f,l,f,n,f,f,won
152,f,t,f,f,t,f,f,f,t,f,f,f,l,f,w,f,f,won
153,f,f,f,f,t,t,t,f,t,f,f,f,g,f,n,f,f,won
154,f,t,f,f,f,t,f,f,f,t,f,f,l,f,n,f,f,won
155,f,f,f,f,f,f,f,f,f,f,f,f,l,f,n,f,f,won
156,f,f,f,f,f,t,f,f,f,f,f,f,l,f,n,f,f,won
157,f,f,f,f,t,f,f,f,f,t,t,f,g,f,n,f,f,won
158,f,f,f,f,t,f,t,t,t,f,f,f,l,f,n,f,f,nowin
159,f,f,f,f,t,t,t,f,f,t,t,f,g,f,n,f,f,nowin
160,f,f,f,f,f,t,t,f,f,f,t,f,l,f,w,f,f,won
161,f,f,f,f,f,f,f,f,f,f,t,t,l,f,n,f,t,won
162,f,f,f,f,f,f,f,f,f,f,f,f,g,f,n,f,f,won
163,f,f,f,f,f,f,f,f,t,f,t,f,l,f,n,f,f,won
164,f,t,f,f,f,f,f,f,f,t,t,f,l,f,w,f,f,won
165,f,f,f,f,f,f,t,t,t,t,t,f,l,f,w,f,f,nowin
166,f,f,f,f,f,f,f,f,f,t,f,f,l,f,n,f,f,won
167,f,f,f,f,t,f,t,t,t,f,t,f,l,f,n,f,f,nowin
168,t,f,t,f,f,t,t,f,f,f,t,f,g,f,n,f,f,nowin
169,f,f,f,f,t,t,t,f,f,t,t,f,g,f,n,f,f,won
170,f,f,f,f,f,t,t,f,t,f,f,f,l,f,n,f,f,won
171,f,f,f,f,f,t,f,f,t,f,f,t,l,f,n,f,f,won
172,f,f,f,f,f,f,f,f,f,f,t,f,l,f,w,f,f,won
173,f,f,f,f,t,f,f,f,t,f,f,f,l,f,n,f,f,nowin
174,f,t,f,f,t,f,f,f,t,f,t,f,l,f,w,f,f,won
175,f,f,f,f,t,f,t,f,f,f,t,f,l,f,w,f,f,won
176,f,f,f,f,t,f,f,f,t,f,t,f,l,f,w,f,f,won
177,f,f,f,f,t,f,t,t,t,f,f,f,g,f,n,f,f,won
178,f,f,f,f,t,f,f,f,t,f,t,f,l,f,n,f,f,won
179,t,f,f,t,t,f,t,t,t,t,t,f,l,f,n,f,f,nowin
180,f,f,f,f,t,t,t,f,f,f,f,f,g,f,n,f,f,nowin
181,f,f,f,t,t,t,f,f,t,f,f,f,g,f,n,f,f,won
182,f,f,f,f,f,f,f,f,f,t,f,t,g,f,n,f,f,nowin
183,t,f,f,f,t,t,t,t,t,f,t,f,g,f,b,f,f,won
184,f,f,f,t,t,t,f,f,f,f,f,f,l,f,n,f,f,won
185,f,f,f,f,t,t,t,f,f,t,f,f,l,f,n,f,f,nowin
186,f,t,f,f,f,t,f,f,f,t,f,f,l,f,n,t,f,nowin
187,f,f,f,f,t,t,f,t,t,t,f,f,g,f,n,f,f,nowin
188,f,f,f,f,f,f,f,f,f,f,f,t,l,f,n,f,f,won
189,f,f,f,f,f,t,f,f,f,f,t,f,l,f,n,f,f,nowin
190,f,f,f,f,f,f,t,t,t,f,t,f,l,f,n,f,f,won
191,f,f,f,f,t,t,f,t,t,t,f,f,l,f,n,f,f,nowin
192,t,f,f,f,t,f,f,f,t,f,f,f,l,f,n,f,f,nowin
193,f,f,f,f,f,f,f,f,f,f,f,t,l,f,n,f,f,won
194,f,f,f,f,f,t,f,f,f,t,f,f,l,f,n,f,f,won
195,f,f,f,f,t,f,t,f,f,t,t,f,g,f,n,f,f,nowin
196,f,f,f,f,f,f,f,f,t,f,f,f,g,f,n,f,t,won
197,t,f,f,f,t,t,f,f,t,f,t,f,l,f,b,f,f,won
198,f,f,f,f,f,f,f,f,f,t,f,f,g,f,n,f,f,nowin
199,f,f,f,f,t,f,t,t,t,t,t,f,g,f,n,f,f,nowin
200,f,f,f,t,f,t,f,f,f,f,f,f,g,f,n,f,f,won
201,f,f,f,f,f,t,f,f,f,t,t,f,g,f,n,f,f,nowin
202,f,f,f,f,t,t,f,f,t,f,f,f,g,f,n,f,f,won
203,f,f,f,f,f,t,f,f,f,t,f,f,l,f,n,f,f,nowin
204,f,f,f,f,t,f,f,f,f,f,f,f,l,f,n,f,f,won
205,f,f,f,f,t,f,t,t,t,f,f,f,g,f,n,f,f,nowin
206,t,f,f,t,t,f,t,t,t,t,t,f,g,f,n,f,f,nowin
207,f,t,f,f,f,f,f,f,f,f,t,f,l,f,n,t,f,nowin
208,f,f,f,f,f,f,f,f,f,f,f,f,l,f,n,f,f,won
209,f,f,f,f,t,t,t,f,f,t,t,f,g,f,n,f,f,nowin
210,f,f,f,f,f,f,t,t,t,f,t,f,l,f,w,f,f,won
211,f,f,f,f,f,f,t,t,t,f,t,f,l,f,w,f,f,won
212,f,f,f,f,f,f,f,f,f,f,t,f,l,f,n,f,f,nowin
213,f,f,f,f,t,f,t,f,f,f,t,f,l,f,w,f,f,won
214,f,f,f,f,f,f,f,f,f,f,t,f,g,f,n,f,f,nowin
215,t,f,f,f,f,t,f,f,f,f,t,f,g,f,n,f,f,won
216,f,f,f,t,f,t,f,f,f,f,t,f,l,f,w,f,f,won
217,f,f,f,f,f,t,t,f,f,f,t,f,l,f,w,f,f,won
218,t,f,f,f,t,f,t,t,t,t,t,f,g,f,n,f,f,nowin
219,f,f,t,f,f,t,f,f,f,f,f,f,l,f,n,f,f,won
220,f,f,f,f,t,t,t,f,t,f,f,f,g,f,n,f,f,won
221,f,f,f,f,f,f,f,f,f,t,f,f,l,f,b,f,f,nowin
222,f,f,f,f,f,f,t,f,f,f,f,f,g,f,n,f,f,nowin
223,f,f,f,f,t,t,f,t,t,t,f,f,g,f,n,f,f,nowin
224,f,f,f,f,f,t,t,f,f,f,f,f,l,f,n,f,f,nowin
225,f,f,f,f,f,t,f,f,f,f,t,f,l,f,n,f,f,won
226,f,f,f,f,t,f,f,f,f,t,f,f,g,f,n,f,f,won
227,t,f,f,f,t,f,t,t,t,t,t,f,l,f,n,t,f,nowin
228,f,t,f,f,f,f,f,f,f,t,f,f,l,f,n,f,f,nowin
229,f,f,f,t,t,f,f,f,f,f,t,f,l,f,w,f,f,won
230,f,f,f,f,f,t,f,f,f,f,t,f,l,f,w,f,f,won
231,f,f,f,f,f,t,t,f,f,f,t,f,l,f,w,f,f,won
232,t,f,f,f,f,f,f,f,f,f,t,f,l,f,w,f,f,won
233,f,f,f,t,t,t,f,f,f,f,f,f,g,f,n,f,f,won
234,f,f,f,f,t,t,t,f,f,f,f,f,l,f,n,f,f,nowin
235,t,f,f,f,t,f,f,f,t,f,t,f,l,f,b,f,f,won
236,f,f,f,f,f,t,f,f,f,f,t,f,g,f,n,f,f,won
237,f,f,f,f,f,f,f,f,f,f,t,f,l,f,w,f,f,won
238,f,t,f,f,f,f,f,f,f,t,f,f,l,f,n,f,f,won
239,f,f,f,f,f,f,f,f,f,f,t,f,l,f,n,f,f,won
240,f,f,f,f,f,f,f,f,f,t,t,f,l,f,b,f,f,nowin
241,f,f,f,f,f,f,t,t,t,t,f,f,l,f,n,f,f,nowin
242,f,f,f,f,t,t,t,t,t,f,f,f,g,f,n,f,f,nowin
243,f,f,f,f,f,t,t,t,t,t,t,f,l,f,w,f,f,nowin
244,t,f,f,f,t,t,f,f,t,f,t,f,l,f,n,f,f,won
245,f,f,f,f,t,t,t,t,t,t,f,f,g,f,n,f,f,won
246,t,f,f,f,f,t,t,f,f,f,t,t,l,f,n,f,f,won
247,f,f,f,f,f,f,f,f,f,f,f,t,g,f,n,f,f,won
248,f,f,f,f,f,f,f,f,f,f,f,f,l,f,n,f,f,won
249,f,f,f,f,f,t,f,f,t,f,f,f,l,f,n,f,f,won
250,f,f,f,f,t,f,f,f,f,f,f,f,l,f,n,f,f,won
251,t,f,f,f,f,f,t,f,f,f,f,f,g,f,b,f,f,nowin
252,f,f,f,f,f,f,f,f,t,f,f,f,g,f,n,f,f,nowin
253,f,f,f,f,f,t,t,f,f,f,f,f,l,f,n,f,f,won
254,f,f,f,f,f,t,t,t,t,t,f,f,g,f,n,f,f,nowin
255,f,f,f,f,f,t,f,f,f,f,t,f,l,f,n,f,f,won
256,f,f,f,f,f,f,f,f,f,f,f,f,l,f,n,f,t,nowin
257,f,f,f,f,f,t,f,f,f,t,f,f,g,f,n,f,f,nowin
258,f,f,f,f,f,t,f,f,t,f,f,t,l,f,n,f,f,won
259,f,f,f,f,t,t,t,t,t,f,f,f,g,f,n,f,f,nowin
260,f,f,f,f,f,f,f,f,t,f,f,f,g,f,n,f,f,nowin
261,f,f,f,f,f,f,t,t,t,f,t,f,l,f,w,f,f,won
262,f,f,f,f,t,t,f,f,f,f,f,f,g,f,n,f,f,won
263,f,f,f,f,f,f,f,f,f,t,f,f,g,f,n,f,f,nowin
264,f,f,f,f,t,f,f,f,t,f,t,f,g,f,n,f,f,nowin
265,f,f,f,f,f,t,f,f,t,f,f,t,g,f,n,f,f,won
266,f,f,f,f,f,t,f,t,t,t,t,f,l,f,n,f,f,nowin
267,f,f,f,f,f,t,f,f,f,t,f,f,l,f,n,f,f,nowin
268,t,f,f,t,t,f,t,t,t,t,t,f,l,f,w,f,f,nowin
269,t,f,f,f,t,t,f,f,t,f,t,f,l,f,n,f,f,won
270,f,f,f,f,f,t,f,f,f,t,t,f,l,f,w,f,f,nowin
271,t,f,f,f,t,f,t,t,t,t,t,f,g,f,n,f,f,nowin
272,f,f,f,f,t,f,f,f,t,f,f,f,g,f,n,f,f,won
273,f,f,f,f,f,t,f,f,f,t,f,f,g,f,n,f,f,nowin
274,f,f,f,f,f,t,f,t,t,t,f,f,l,f,n,f,f,nowin
275,f,f,f,t,f,t,f,f,f,t,f,f,g,f,n,f,f,nowin
276,t,f,t,f,f,t,t,f,f,f,t,f,g,f,n,f,f,nowin
277,f,f,f,f,t,t,f,f,t,f,t,f,g,f,n,f,f,won
278,f,f,f,f,f,f,f,f,t,f,t,t,l,f,n,f,f,nowin
279,f,f,f,f,f,f,t,t,t,t,t,f,l,f,n,f,f,nowin
280,t,f,f,f,t,f,t,t,t,t,t,f,l,f,n,f,f,nowin
281,f,f,f,f,f,t,t,f,t,f,t,f,l,f,n,f,f,won
282,f,f,f,f,f,f,t,t,t,f,t,f,l,f,n,f,f,nowin
283,f,f,f,f,t,f,f,f,t,f,t,f,l,f,b,f,f,nowin
284,f,f,f,f,f,f,f,f,f,f,f,f,l,f,n,t,f,nowin
285,f,f,f,f,f,f,f,f,f,f,t,f,l,f,w,f,f,won
286,t,t,t,f,f,f,f,f,f,f,t,f,g,t,n,t,f,nowin
287,f,f,f,f,f,f,f,f,f,f,t,f,l,f,w,f,f,won
288,f,f,f,f,t,f,f,f,t,f,f,f,l,f,n,f,f,nowin
289,f,f,f,f,f,t,f,f,f,f,f,f,g,f,n,f,f,won
290,f,f,f,f,t,f,f,f,t,f,t,f,l,f,n,f,f,nowin
291,f,f,f,f,f,t,f,f,f,f,f,f,l,f,n,f,f,won
292,f,f,f,f,t,t,t,t,t,f,f,f,l,f,n,f,f,nowin
293,f,f,f,f,t,t,t,f,f,f,t,f,l,f,n,f,f,nowin
294,f,t,f,f,f,t,f,f,t,f,t,f,l,f,w,t,f,won
295,f,f,f,f,f,f,f,f,t,f,f,f,l,f,n,f,f,nowin
296,f,f,f,f,f,t,t,f,f,f,f,f,l,f,n,f,f,nowin
297,f,f,f,f,f,f,f,f,f,f,f,t,l,f,n,f,f,won
298,f,f,f,f,f,t,f,f,t,f,t,f,l,f,w,f,f,won
299,f,f,f,f,t,f,f,f,t,f,t,f,g,f,n,f,f,won
300,f,f,f,f,f,t,t,t,t,t,f,f,l,f,n,f,f,nowin
301,t,f,f,f,f,t,f,f,f,f,t,f,l,f,n,f,f,nowin
302,f,f,f,f,f,f,f,f,f,f,t,f,l,f,w,f,f,won
303,f,f,f,f,t,f,t,t,t,t,f,f,l,f,n,t,f,nowin
304,t,f,f,f,t,f,t,t,t,f,t,f,g,f,b,f,f,won
305,t,f,f,f,t,t,t,t,t,f,t,f,l,f,w,f,f,won
306,f,f,f,f,t,t,f,f,f,f,f,f,l,f,n,f,f,won
307,t,f,f,f,t,t,f,f,t,f,t,f,l,f,n,f,f,won
308,f,f,f,f,f,f,f,f,f,f,f,f,l,f,n,f,f,won
309,f,f,f,f,t,t,t,t,t,f,f,f,l,f,n,f,f,won
310,f,f,f,f,f,f,f,f,f,t,f,f,l,f,n,f,f,nowin
311,f,f,f,f,f,f,t,f,t,f,f,f,g,f,n,f,f,won
312,f,f,f,f,f,f,f,f,f,t,t,f,l,f,b,f,f,nowin
313,f,f,f,t,t,t,f,f,f,f,f,f,g,f,n,f,f,nowin
314,f,f,f,f,t,t,t,t,t,f,f,f,g,f,n,f,f,nowin
315,t,f,f,f,f,f,t,f,f,f,t,f,l,f,w,f,f,won
316,f,f,f,t,t,t,f,f,f,f,f,f,l,f,n,f,f,won
317,f,f,f,f,f,t,t,t,t,f,t,f,l,f,w,f,f,won
318,f,f,f,f,t,t,f,f,t,f,f,f,l,f,n,f,f,won
319,f,f,f,f,t,f,t,f,f,f,t,f,l,f,n,f,f,nowin
320,f,f,f,f,f,t,f,f,f,f,f,f,l,f,n,f,f,won
321,f,f,f,f,f,t,f,f,t,f,f,t,l,f,n,f,f,nowin
322,f,f,f,f,f,t,f,f,f,f,f,f,l,f,n,f,f,won
323,t,f,f,t,f,t,f,f,f,f,t,f,l,f,w,f,f,won
324,f,f,f,f,f,t,f,f,t,f,f,t,l,f,n,f,f,won
325,f,f,f,f,f,f,f,f,f,f,f,f,l,f,n,f,f,nowin
326,f,f,f,f,f,f,f,f,f,f,f,f,g,f,n,f,f,won
327,f,f,f,f,f,f,f,f,f,t,t,f,g,f,n,f,f,won
328,f,f,f,f,f,f,f,f,f,t,f,f,l,f,n,f,f,won
329,f,f,f,f,f,f,t,t,t,t,t,t,l,f,w,f,f,nowin
330,f,f,f,f,t,t,f,t,t,t,f,f,g,f,n,f,f,nowin
331,f,f,f,f,f,f,f,f,f,f,t,f,l,f,b,f,f,nowin
332,f,f,f,f,f,f,f,f,f,t,t,f,l,f,b,f,f,nowin
333,f,f,f,f,f,t,f,f,t,f,f,t,g,f,n,f,f,nowin
334,f,f,t,f,t,t,t,f,f,f,f,f,g,f,n,f,f,nowin
335,t,f,f,f,f,f,f,f,f,f,t,f,l,f,w,f,f,won
336,f,f,f,f,t,f,t,t,t,t,f,f,l,f,n,f,f,nowin
337,f,t,f,f,f,f,f,f,t,f,f,t,l,f,n,f,f,won
338,f,f,f,f,t,f,f,f,f,f,f,f,g,f,n,f,f,nowin
339,f,f,f,f,f,t,t,f,f,t,f,f,g,f,n,f,f,nowin
340,f,f,f,f,f,f,t,f,f,f,t,f,l,f,w,f,f,won
341,f,f,f,f,f,f,f,f,t,f,f,t,l,f,n,f,f,nowin
342,f,f,f,f,t,f,f,f,f,f,f,f,l,f,n,f,f,won
343,f,f,f,f,t,t,t,t,t,t,f,f,g,f,n,f,f,won
344,f,t,f,f,f,t,f,f,f,t,f,f,l,f,n,f,f,nowin
345,f,f,f,f,f,f,f,f,t,f,t,f,g,f,n,f,f,nowin
346,f,f,f,f,f,f,t,t,t,f,t,f,l,f,w,f,f,won
347,f,f,f,f,f,f,f,f,f,t,f,t,l,f,n,f,f,won
348,f,f,f,f,f,f,f,f,t,f,t,f,l,f,w,f,f,won
349,f,f,f,f,f,f,f,f,f,f,f,f,l,f,n,f,f,won
350,f,f,f,f,f,t,f,t,t,t,f,f,l,f,n,f,f,nowin
351,f,f,f,f,t,t,t,t,t,t,f,f,g,f,n,f,f,nowin
352,t,f,f,f,f,f,f,f,f,f,t,f,g,f,n,f,f,won
353,f,f,f,f,f,f,t,f,f,t,t,f,l,f,b,f,f,nowin
354,f,f,f,f,f,f,f,f,f,f,f,f,l,f,n,f,f,won
