id,buying,maint,doors,persons,lug_boot,safety,class_name
168,vhigh,med,5more,2,big,high,unacc
169,vhigh,low,2,4,small,med,unacc
170,low,high,3,4,small,med,acc
171,low,vhigh,5more,2,med,low,unacc
172,high,low,4,2,big,high,unacc
173,high,high,5more,2,med,high,unacc
174,high,high,4,2,small,high,unacc
175,med,med,4,4,small,high,acc
176,med,med,2,2,med,med,unacc
177,high,med,3,4,med,low,unacc
178,low,high,5more,more,med,high,vgood
179,vhigh,low,3,more,med,high,acc
180,med,vhigh,3,4,small,high,acc
181,vhigh,vhigh,2,4,small,low,unacc
182,low,high,2,2,small,high,unacc
183,vhigh,vhigh,4,4,big,high,unacc
184,vhigh,med,2,2,med,med,unacc
185,med,low,3,2,big,med,unacc
186,low,vhigh,2,2,med,high,unacc
187,high,med,5more,2,small,high,unacc
188,vhigh,med,4,4,big,med,acc
189,low,vhigh,4,2,small,high,unacc
190,high,low,3,4,small,high,acc
191,high,med,3,4,small,med,unacc
192,high,low,4,4,big,high,acc
193,low,low,3,more,big,high,vgood
194,high,high,5more,4,med,med,acc
195,med,high,5more,4,big,high,acc
196,high,vhigh,2,more,small,high,unacc
197,med,vhigh,3,more,big,low,unacc
198,med,high,5more,2,med,low,unacc
199,med,med,3,more,med,med,acc
200,low,med,5more,2,med,low,unacc
201,vhigh,high,5more,more,big,low,unacc
202,low,vhigh,5more,more,small,high,acc
203,low,vhigh,3,2,big,high,unacc
204,high,vhigh,5more,2,big,med,unacc
205,med,med,4,more,big,low,unacc
206,high,high,3,4,med,high,acc
207,vhigh,med,5more,2,med,high,unacc
208,vhigh,low,5more,4,big,low,unacc
209,low,vhigh,4,more,small,low,unacc
210,med,vhigh,4,2,big,med,unacc
211,high,high,4,2,small,med,unacc
212,high,high,3,more,med,high,acc
213,high,med,4,more,small,low,unacc
214,med,low,2,4,big,med,good
215,vhigh,med,3,2,big,med,unacc
216,high,low,5more,4,small,high,acc
217,vhigh,med,5more,4,med,low,unacc
218,med,med,3,2,big,med,unacc
219,vhigh,med,4,4,small,low,unacc
220,high,vhigh,4,4,med,med,unacc
221,vhigh,vhigh,3,4,small,med,unacc
222,high,high,4,more,small,med,unacc
223,vhigh,low,3,more,small,med,unacc
224,vhigh,high,4,more,small,low,unacc
225,high,med,4,4,med,med,acc
226,med,high,3,2,big,low,unacc
227,low,vhigh,2,more,big,low,unacc
228,vhigh,high,5more,2,med,low,unacc
229,vhigh,med,4,2,med,high,unacc
230,high,high,3,more,small,med,unacc
231,vhigh,high,2,2,med,high,unacc
232,high,med,5more,more,med,med,acc
233,low,high,3,more,med,low,unacc
234,vhigh,med,2,more,small,low,unacc
235,high,med,3,2,small,high,unacc
236,low,high,2,more,med,low,unacc
237,high,med,5more,4,med,high,acc
238,med,low,2,2,big,low,unacc
239,high,high,5more,more,med,low,unacc
240,vhigh,low,5more,4,med,high,acc
241,high,med,4,more,big,low,unacc
242,low,vhigh,3,more,med,high,acc
243,high,low,5more,2,big,med,unacc
244,vhigh,med,4,4,small,high,acc
245,high,high,3,2,small,high,unacc
246,med,low,3,2,big,low,unacc
247,vhigh,med,5more,4,med,high,acc
248,high,vhigh,5more,2,med,med,unacc
249,vhigh,vhigh,5more,4,big,low,unacc
250,high,vhigh,4,4,med,high,unacc
251,low,low,5more,4,big,med,good
252,med,low,4,4,med,med,good
253,med,med,2,4,small,med,acc
254,high,med,5more,4,small,high,acc
255,med,med,4,4,big,low,unacc
256,med,high,5more,2,small,low,unacc
257,low,med,2,4,small,med,acc
258,low,med,2,2,med,low,unacc
259,vhigh,med,5more,more,small,high,acc
260,vhigh,high,4,more,small,med,unacc
261,vhigh,low,2,4,big,low,unacc
262,high,med,2,4,small,high,acc
263,vhigh,high,2,4,med,med,unacc
264,high,high,5more,more,small,high,acc
265,high,vhigh,3,more,big,low,unacc
266,low,low,5more,2,big,low,unacc
267,high,low,4,more,med,med,acc
268,vhigh,low,5more,2,med,high,unacc
269,vhigh,high,3,more,big,high,unacc
270,vhigh,low,2,2,big,high,unacc
271,med,vhigh,5more,more,big,low,unacc
272,med,high,3,more,small,high,acc
273,med,med,3,more,med,high,vgood
274,low,high,2,2,med,low,unacc
275,vhigh,high,3,more,small,high,unacc
276,med,med,4,more,med,med,acc
277,high,high,3,2,small,low,unacc
278,vhigh,high,2,more,big,med,unacc
279,vhigh,low,3,2,small,med,unacc
280,low,high,4,4,big,high,vgood
281,high,med,4,more,small,high,acc
282,high,high,5more,more,big,med,acc
283,med,low,2,4,med,med,acc
284,low,high,5more,more,small,low,unacc
285,low,high,4,more,med,med,acc
286,low,high,2,4,big,med,acc
287,med,med,4,4,small,med,acc
288,vhigh,high,2,2,med,med,unacc
289,med,med,5more,more,big,med,acc
290,med,high,5more,2,small,med,unacc
291,med,vhigh,5more,4,small,med,unacc
292,vhigh,vhigh,2,4,small,high,unacc
293,high,low,4,more,big,high,acc
294,vhigh,high,5more,4,small,low,unacc
295,vhigh,med,4,4,small,med,unacc
296,low,med,2,4,med,med,acc
297,high,vhigh,2,2,small,low,unacc
298,low,vhigh,2,4,big,high,acc
299,low,med,5more,more,big,med,good
300,high,high,3,4,med,med,unacc
301,med,vhigh,2,4,small,med,unacc
302,low,vhigh,5more,more,med,low,unacc
303,low,low,3,4,small,high,good
304,high,med,3,2,big,high,unacc
305,low,high,4,more,big,high,vgood
306,low,vhigh,3,2,small,med,unacc
307,med,vhigh,5more,more,small,low,unacc
308,vhigh,med,3,2,med,low,unacc
309,high,vhigh,2,more,big,high,unacc
310,low,med,5more,4,big,med,good
311,med,med,4,4,big,med,acc
312,med,high,5more,more,small,low,unacc
313,med,vhigh,4,4,big,low,unacc
314,med,vhigh,2,2,big,med,unacc
315,high,low,5more,more,small,med,unacc
316,high,high,3,4,small,low,unacc
317,vhigh,low,2,more,big,med,acc
318,med,high,3,2,big,high,unacc
319,vhigh,vhigh,4,more,small,low,unacc
320,vhigh,high,2,2,small,med,unacc
321,med,vhigh,5more,2,small,high,unacc
322,low,med,3,more,big,low,unacc
323,vhigh,high,2,4,small,low,unacc
324,low,vhigh,4,more,small,med,unacc
325,low,high,2,4,med,high,acc
326,high,med,2,more,med,med,unacc
327,vhigh,low,3,4,small,high,acc
328,med,high,5more,2,small,high,unacc
329,low,vhigh,4,2,med,med,unacc
330,vhigh,high,3,2,med,med,unacc
331,high,high,4,4,big,med,acc
332,low,high,5more,4,med,low,unacc
333,med,low,4,more,med,low,unacc
334,vhigh,high,5more,more,big,med,unacc
335,low,vhigh,4,4,small,low,unacc
336,low,low,5more,2,small,high,unacc
337,low,vhigh,4,2,small,med,unacc
338,high,high,4,4,small,high,acc
339,low,low,4,4,small,low,unacc
340,high,low,2,2,big,med,unacc
341,vhigh,med,2,4,big,med,acc
342,vhigh,vhigh,4,2,big,low,unacc
343,vhigh,vhigh,5more,4,med,high,unacc
344,low,vhigh,4,more,big,med,acc
345,vhigh,low,2,2,big,med,unacc
346,high,low,4,2,med,low,unacc
347,vhigh,med,5more,2,big,low,unacc
348,low,vhigh,3,more,med,low,unacc
349,high,low,5more,2,med,low,unacc
350,low,med,5more,4,med,high,vgood
351,vhigh,med,4,more,big,low,unacc
352,high,vhigh,4,2,big,low,unacc
353,vhigh,low,2,more,med,low,unacc
354,low,med,4,4,big,med,good
355,high,med,2,2,big,high,unacc
356,med,vhigh,2,2,med,low,unacc
357,low,vhigh,5more,2,big,high,unacc
358,high,high,3,more,big,med,acc
359,med,low,4,4,small,high,good
360,vhigh,low,3,more,small,low,unacc
361,high,high,2,more,big,low,unacc
362,low,vhigh,3,4,med,high,acc
363,med,vhigh,4,2,med,low,unacc
364,med,med,3,more,small,med,acc
365,low,high,4,more,small,med,acc
366,low,vhigh,2,2,small,low,unacc
367,high,med,3,4,big,low,unacc
368,low,low,2,more,med,med,acc
369,low,high,2,4,small,med,acc
370,high,vhigh,3,4,small,high,unacc
371,high,med,5more,4,med,low,unacc
372,low,high,4,2,small,low,unacc
373,low,vhigh,2,4,small,high,acc
374,low,high,2,more,small,low,unacc
375,high,vhigh,5more,more,big,med,unacc
376,high,high,5more,more,small,med,unacc
377,high,high,3,2,med,low,unacc
378,low,low,5more,4,small,high,good
379,med,vhigh,5more,2,small,low,unacc
380,low,vhigh,5more,more,big,high,acc
381,med,vhigh,4,4,med,low,unacc
382,vhigh,low,4,2,med,low,unacc
383,low,high,5more,4,med,high,vgood
384,med,med,4,2,big,med,unacc
385,high,vhigh,4,2,small,med,unacc
386,med,vhigh,3,2,small,high,unacc
387,med,low,3,2,med,low,unacc
388,med,high,4,4,med,low,unacc
389,vhigh,vhigh,2,2,med,low,unacc
390,low,low,3,2,big,med,unacc
391,med,vhigh,5more,more,big,med,acc
392,low,low,4,4,small,med,acc
393,med,high,5more,4,med,med,acc
394,vhigh,high,3,2,big,high,unacc
395,vhigh,high,3,4,small,low,unacc
396,high,vhigh,2,4,big,med,unacc
397,med,vhigh,3,2,med,high,unacc
398,vhigh,med,5more,4,small,med,unacc
399,med,vhigh,4,2,med,high,unacc
400,low,med,3,more,med,high,vgood
401,med,med,3,4,small,med,acc
402,high,low,2,2,small,med,unacc
403,high,low,2,2,small,low,unacc
404,vhigh,low,4,4,big,med,acc
405,low,med,3,2,med,low,unacc
406,med,vhigh,2,more,med,med,unacc
407,med,low,5more,4,small,high,good
408,vhigh,low,3,4,med,high,acc
409,high,vhigh,2,2,big,high,unacc
410,med,med,3,2,big,high,unacc
411,low,low,5more,4,med,high,vgood
412,low,high,3,4,big,med,acc
413,high,vhigh,5more,more,big,high,unacc
414,low,high,5more,4,small,low,unacc
415,high,low,2,more,med,med,unacc
416,vhigh,low,2,4,big,high,acc
417,high,low,5more,more,med,high,acc
418,vhigh,high,5more,2,big,high,unacc
419,low,vhigh,5more,2,med,high,unacc
420,med,low,2,4,small,low,unacc
421,vhigh,low,4,more,small,med,unacc
422,low,med,2,more,big,high,vgood
423,high,low,2,more,big,low,unacc
424,low,high,3,2,big,low,unacc
425,high,med,2,more,med,low,unacc
426,high,vhigh,4,4,big,med,unacc
427,vhigh,high,4,2,big,high,unacc
428,med,high,3,4,small,med,unacc
429,vhigh,low,5more,more,med,med,acc
430,low,med,2,more,med,med,acc
431,med,vhigh,2,more,med,high,acc
432,vhigh,low,5more,more,small,med,unacc
433,low,low,3,2,med,low,unacc
434,med,vhigh,3,4,small,med,unacc
435,high,med,4,more,small,med,unacc
436,high,high,3,2,big,high,unacc
437,vhigh,vhigh,3,more,small,low,unacc
438,vhigh,low,4,4,med,high,acc
439,med,vhigh,3,4,big,low,unacc
440,vhigh,low,2,2,big,low,unacc
441,high,high,2,4,big,high,acc
442,vhigh,low,3,4,big,high,acc
443,low,med,2,4,med,low,unacc
444,low,med,4,more,med,low,unacc
445,high,vhigh,4,4,big,low,unacc
446,high,vhigh,3,4,big,med,unacc
447,vhigh,med,3,2,small,med,unacc
448,low,low,5more,more,big,med,good
449,high,high,4,2,big,low,unacc
450,high,high,4,4,big,low,unacc
451,low,med,2,more,med,low,unacc
452,high,low,3,more,small,high,acc
453,med,high,5more,2,med,med,unacc
454,high,low,5more,2,small,low,unacc
455,vhigh,high,2,2,med,low,unacc
456,high,med,3,4,small,high,acc
457,med,med,5more,more,med,low,unacc
458,high,med,3,4,med,high,acc
459,high,med,4,2,med,low,unacc
460,low,med,2,2,big,high,unacc
461,vhigh,high,2,more,big,low,unacc
462,vhigh,low,4,more,med,low,unacc
463,low,med,3,4,big,low,unacc
464,med,vhigh,5more,more,small,med,unacc
465,vhigh,high,2,more,small,low,unacc
466,med,high,4,4,small,high,acc
467,vhigh,high,4,more,med,high,unacc
468,high,low,2,2,big,low,unacc
469,low,vhigh,4,more,med,high,acc
470,low,med,5more,more,med,low,unacc
471,med,med,2,4,small,high,acc
472,med,vhigh,3,4,med,high,acc
473,med,med,5more,2,med,high,unacc
474,high,low,4,4,small,low,unacc
475,vhigh,high,5more,4,med,med,unacc
476,high,med,3,2,med,low,unacc
477,med,vhigh,3,more,small,high,acc
478,low,high,4,4,small,med,acc
479,high,vhigh,3,4,small,med,unacc
480,high,med,5more,2,med,med,unacc
481,high,low,3,4,big,high,acc
482,high,vhigh,4,4,small,low,unacc
483,low,vhigh,3,more,big,high,acc
484,low,high,2,more,small,high,unacc
485,high,vhigh,5more,2,med,high,unacc
486,vhigh,high,5more,4,big,high,unacc
487,vhigh,high,5more,2,big,low,unacc
488,low,high,2,more,big,high,vgood
489,med,high,4,4,big,low,unacc
490,med,med,4,2,small,low,unacc
491,vhigh,low,3,more,med,low,unacc
492,low,vhigh,3,4,big,med,acc
493,low,low,5more,2,med,med,unacc
494,vhigh,med,3,2,med,high,unacc
495,low,high,5more,2,big,high,unacc
496,vhigh,med,5more,2,big,med,unacc
497,high,low,3,2,big,med,unacc
498,vhigh,high,5more,2,med,med,unacc
499,vhigh,med,2,more,med,low,unacc
500,low,med,5more,2,big,med,unacc
501,vhigh,med,5more,2,small,low,unacc
502,vhigh,med,5more,4,big,med,acc
503,vhigh,vhigh,4,more,big,low,unacc
504,med,low,5more,more,med,med,good
505,vhigh,vhigh,3,4,big,low,unacc
506,high,high,3,more,big,high,acc
507,vhigh,med,4,more,big,med,acc
508,high,vhigh,5more,more,small,low,unacc
509,low,med,4,2,med,high,unacc
510,med,vhigh,3,4,med,med,unacc
511,vhigh,vhigh,3,4,big,med,unacc
512,low,vhigh,5more,4,med,med,acc
513,vhigh,vhigh,4,more,med,low,unacc
514,low,med,2,2,big,med,unacc
515,high,med,2,2,med,low,unacc
516,med,med,2,more,med,med,acc
517,high,vhigh,3,4,med,low,unacc
518,med,vhigh,5more,2,med,low,unacc
519,low,low,4,2,small,med,unacc
520,low,high,4,2,big,low,unacc
521,med,high,3,2,small,med,unacc
522,med,med,3,4,med,med,acc
523,high,vhigh,5more,4,med,low,unacc
524,med,vhigh,3,2,big,med,unacc
525,low,vhigh,2,more,small,low,unacc
526,low,low,3,4,small,low,unacc
527,med,high,3,2,small,low,unacc
528,med,high,4,4,med,med,acc
529,high,low,3,more,med,high,acc
530,med,low,4,2,small,med,unacc
531,med,vhigh,2,2,small,high,unacc
532,vhigh,vhigh,2,4,big,low,unacc
533,med,med,3,4,med,high,acc
534,vhigh,med,3,more,med,high,acc
535,med,high,4,4,med,high,acc
536,vhigh,high,5more,more,med,med,unacc
537,low,high,2,4,small,low,unacc
538,vhigh,high,5more,4,med,high,unacc
539,high,vhigh,4,4,small,high,unacc
540,high,low,2,2,big,high,unacc
541,low,high,3,2,med,high,unacc
542,high,med,3,more,small,high,acc
543,med,med,5more,2,small,med,unacc
544,vhigh,low,5more,2,med,low,unacc
545,high,vhigh,2,4,big,low,unacc
546,vhigh,med,4,4,big,low,unacc
547,high,vhigh,3,2,big,low,unacc
548,vhigh,med,5more,more,med,low,unacc
549,high,low,4,2,big,low,unacc
550,med,high,4,2,big,low,unacc
551,low,med,4,2,big,high,unacc
552,med,low,2,4,big,low,unacc
553,vhigh,vhigh,2,4,big,high,unacc
554,low,high,5more,more,big,med,acc
555,low,med,5more,4,big,low,unacc
556,vhigh,vhigh,4,4,med,med,unacc
557,high,high,2,more,med,med,unacc
558,med,vhigh,4,4,small,high,acc
559,vhigh,high,3,2,med,low,unacc
560,vhigh,med,2,more,med,high,acc
561,vhigh,vhigh,4,more,med,high,unacc
562,low,high,3,4,small,high,acc
563,med,low,4,2,small,low,unacc
564,vhigh,high,3,4,med,low,unacc
565,high,vhigh,3,4,big,low,unacc
566,vhigh,med,3,4,small,high,acc
567,vhigh,med,4,2,big,high,unacc
568,vhigh,low,3,2,med,med,unacc
569,vhigh,low,3,more,small,high,acc
570,high,high,5more,2,small,high,unacc
571,high,vhigh,5more,more,med,high,unacc
572,low,low,2,4,small,low,unacc
573,low,low,3,4,med,med,acc
574,vhigh,high,5more,4,big,med,unacc
575,med,low,3,more,med,med,good
576,low,med,3,2,big,low,unacc
577,low,high,5more,more,big,high,vgood
578,med,vhigh,3,more,med,low,unacc
579,med,low,4,4,big,high,vgood
580,high,med,3,2,med,med,unacc
581,med,med,2,more,small,high,unacc
582,high,med,3,2,small,med,unacc
583,high,high,2,2,big,med,unacc
584,vhigh,med,5more,more,med,med,acc
585,low,low,4,4,med,low,unacc
586,low,low,4,more,med,low,unacc
587,high,med,3,more,small,low,unacc
588,high,med,5more,4,big,med,acc
589,low,high,4,more,med,high,vgood
590,high,med,3,4,big,high,acc
591,vhigh,vhigh,3,more,med,high,unacc
592,vhigh,low,3,2,med,high,unacc
593,low,med,3,2,big,high,unacc
594,med,low,5more,more,big,med,good
595,low,low,5more,2,small,med,unacc
596,med,high,4,more,med,low,unacc
597,low,high,5more,2,big,low,unacc
598,high,high,3,more,big,low,unacc
599,high,high,4,more,med,high,acc
600,high,high,2,more,med,high,acc
601,high,med,5more,2,small,med,unacc
602,low,low,2,more,big,high,vgood
603,vhigh,med,4,more,med,high,acc
604,vhigh,vhigh,2,4,big,med,unacc
605,high,low,5more,4,big,high,acc
606,high,high,5more,2,big,low,unacc
607,low,low,2,more,small,high,unacc
608,med,vhigh,5more,2,big,med,unacc
609,med,high,5more,more,big,high,acc
610,low,high,4,2,big,med,unacc
611,vhigh,vhigh,5more,4,small,med,unacc
612,low,high,2,2,med,high,unacc
613,high,med,5more,2,big,high,unacc
614,med,med,2,more,small,med,unacc
615,med,low,3,4,small,low,unacc
616,low,vhigh,4,4,big,med,acc
617,low,vhigh,4,4,small,med,unacc
618,med,vhigh,5more,2,big,high,unacc
619,low,high,4,more,med,low,unacc
620,med,high,4,more,big,high,acc
621,high,low,4,more,med,high,acc
622,high,med,4,2,med,high,unacc
623,med,high,2,more,big,med,acc
624,vhigh,high,2,more,big,high,unacc
625,med,high,2,more,med,high,acc
626,med,high,4,2,big,med,unacc
627,vhigh,med,5more,more,big,high,acc
628,vhigh,low,4,2,big,high,unacc
629,med,low,4,4,big,low,unacc
630,med,low,5more,2,big,low,unacc
631,med,high,5more,4,small,low,unacc
632,low,vhigh,5more,more,big,low,unacc
633,low,vhigh,3,more,small,med,unacc
634,high,high,5more,more,big,high,acc
635,low,low,3,more,med,low,unacc
636,high,low,3,2,med,med,unacc
637,low,low,4,4,big,med,good
638,vhigh,vhigh,4,2,med,high,unacc
639,vhigh,med,4,more,big,high,acc
640,med,low,2,2,med,med,unacc
641,high,vhigh,2,more,med,low,unacc
642,high,high,4,4,med,low,unacc
643,high,vhigh,4,more,big,low,unacc
644,med,low,4,4,small,low,unacc
645,vhigh,med,5more,more,small,low,unacc
646,high,vhigh,4,more,med,low,unacc
647,high,high,2,2,small,med,unacc
648,high,high,5more,2,med,low,unacc
649,high,high,2,more,big,high,acc
650,low,high,3,4,big,low,unacc
651,high,med,3,4,med,med,unacc
652,vhigh,low,2,more,med,high,acc
653,vhigh,low,4,more,small,high,acc
654,med,high,5more,4,big,low,unacc
655,med,low,5more,more,med,high,vgood
656,high,low,4,4,med,med,acc
657,low,med,5more,4,small,med,acc
658,med,vhigh,3,4,med,low,unacc
659,low,med,4,4,big,high,vgood
660,high,vhigh,3,more,big,high,unacc
661,high,high,5more,4,big,high,acc
662,vhigh,med,2,2,med,high,unacc
663,low,low,3,more,med,med,good
664,med,low,5more,more,small,med,acc
665,med,high,3,4,med,high,acc
666,low,med,2,4,big,med,good
667,med,high,4,more,med,high,acc
668,high,vhigh,4,2,small,high,unacc
669,low,med,2,more,big,med,good
670,vhigh,low,2,4,small,high,acc
671,high,high,5more,2,small,low,unacc
672,low,high,3,2,med,med,unacc
673,low,high,4,2,med,low,unacc
674,high,med,5more,4,big,high,acc
675,low,med,3,4,med,high,good
676,low,low,5more,more,small,med,acc
677,med,vhigh,5more,4,big,high,acc
678,vhigh,high,5more,2,med,high,unacc
679,low,high,3,more,big,high,vgood
680,med,high,4,more,small,med,unacc
681,med,high,2,2,small,high,unacc
682,high,high,3,2,med,med,unacc
683,vhigh,med,2,2,big,high,unacc
684,vhigh,high,4,more,big,high,unacc
685,low,med,3,4,small,high,good
686,vhigh,med,5more,4,big,low,unacc
687,high,low,4,more,big,low,unacc
688,low,med,4,2,small,low,unacc
689,med,high,2,4,big,low,unacc
690,low,low,2,more,med,low,unacc
691,high,vhigh,2,more,big,low,unacc
692,low,med,4,more,big,low,unacc
693,high,high,2,4,big,med,acc
694,high,low,3,4,big,med,acc
695,high,med,2,more,med,high,acc
696,low,low,5more,2,med,low,unacc
697,vhigh,high,5more,2,big,med,unacc
698,vhigh,low,4,2,big,med,unacc
699,med,low,5more,4,big,high,vgood
700,low,low,2,2,small,med,unacc
701,low,vhigh,4,4,med,med,acc
702,low,low,3,more,big,med,good
703,high,high,3,4,big,low,unacc
704,high,vhigh,4,2,med,med,unacc
705,vhigh,low,4,more,small,low,unacc
706,high,low,3,more,med,low,unacc
707,med,vhigh,5more,more,small,high,acc
708,high,vhigh,3,2,med,high,unacc
709,low,med,5more,2,med,med,unacc
710,med,low,4,4,med,low,unacc
711,med,low,4,more,med,high,vgood
712,high,vhigh,3,4,small,low,unacc
713,low,med,2,2,small,high,unacc
714,vhigh,med,2,2,big,low,unacc
715,vhigh,high,2,4,small,high,unacc
716,low,vhigh,4,more,med,med,acc
717,low,vhigh,3,more,big,med,acc
718,low,low,5more,more,small,low,unacc
