id,top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square,class_name
61,o,o,x,o,x,b,o,x,x,negative
62,o,x,o,o,o,x,x,x,x,positive
63,o,b,x,x,o,x,o,x,o,negative
64,x,o,o,x,o,x,o,x,b,negative
65,o,b,x,o,x,x,b,o,x,positive
66,b,b,x,o,o,x,o,x,x,positive
67,b,o,b,x,x,x,o,b,b,positive
68,b,x,b,b,x,o,b,x,o,positive
69,x,b,o,b,b,o,x,x,o,negative
70,o,x,b,o,x,o,x,x,b,positive
71,b,o,x,o,x,x,x,b,o,positive
72,o,x,x,x,o,o,x,b,o,negative
73,o,b,o,x,o,x,x,x,o,negative
74,b,o,x,x,x,o,x,o,b,positive
75,b,x,x,o,x,o,b,x,o,positive
76,x,o,o,o,x,x,o,x,x,positive
77,b,b,x,o,b,x,o,b,x,positive
78,x,x,x,x,o,b,b,o,o,positive
79,o,b,x,x,x,b,x,o,o,positive
80,o,o,o,x,x,b,x,x,o,negative
81,o,b,x,b,x,x,x,o,o,positive
82,x,x,b,x,x,o,o,o,o,negative
83,b,o,b,x,x,x,o,x,o,positive
84,x,x,o,o,x,x,o,o,x,positive
85,b,b,o,x,b,o,x,x,o,negative
86,x,o,b,x,o,x,x,b,o,positive
87,o,x,b,o,o,x,o,x,x,negative
88,x,o,o,x,x,b,b,o,x,positive
89,o,o,x,o,b,x,b,x,x,positive
90,b,x,o,x,o,b,o,x,b,negative
91,x,o,b,b,x,b,o,b,x,positive
92,x,x,b,o,o,o,b,x,b,negative
93,x,b,o,x,b,o,x,b,b,positive
94,b,x,b,b,x,b,o,x,o,positive
95,b,x,x,o,x,o,x,b,o,positive
96,o,x,x,o,x,x,x,o,o,positive
97,x,o,o,b,o,x,o,x,x,negative
98,x,o,o,o,x,x,b,b,x,positive
99,o,b,x,o,x,b,o,x,b,negative
100,x,b,x,o,x,o,o,b,x,positive
101,o,b,x,o,x,x,x,b,o,positive
102,o,x,o,b,o,x,x,x,o,negative
103,x,x,o,o,x,b,b,o,x,positive
104,b,x,o,x,x,o,o,x,b,positive
105,x,o,x,o,o,o,x,b,x,negative
106,o,x,b,x,x,x,o,b,o,positive
107,x,x,o,b,x,o,x,o,o,negative
108,x,x,x,o,b,o,x,o,b,positive
109,b,x,o,b,x,o,b,x,b,positive
110,o,o,x,o,x,x,b,b,x,positive
111,o,b,o,x,x,x,o,b,x,positive
112,o,o,x,x,x,x,o,x,o,positive
113,b,x,o,b,b,o,x,x,o,negative
114,o,b,x,b,x,o,x,x,o,positive
115,b,b,o,x,x,x,b,b,o,positive
116,o,x,x,b,o,b,b,x,o,negative
117,x,b,x,o,o,o,x,x,o,negative
118,b,b,x,o,o,o,x,x,b,negative
119,x,x,x,b,x,o,b,o,o,positive
120,x,o,b,o,x,b,b,b,x,positive
121,x,b,o,x,o,b,x,o,x,positive
122,x,b,o,o,o,x,o,x,x,negative
123,o,b,b,o,o,x,x,x,x,positive
124,x,b,x,x,x,o,o,o,o,negative
125,b,x,o,x,x,x,o,b,o,positive
126,x,b,x,x,o,o,x,o,b,positive
127,x,x,o,b,o,x,o,x,o,negative
128,x,b,o,x,o,b,x,b,b,positive
129,o,x,o,x,b,o,x,x,o,negative
130,x,b,x,x,o,x,o,o,o,negative
131,o,o,x,o,x,x,x,b,b,positive
132,b,o,x,b,o,x,o,x,x,positive
133,o,b,x,b,x,x,o,o,x,positive
134,x,x,x,o,o,b,b,b,b,positive
135,b,x,o,x,o,x,o,o,x,negative
136,o,x,b,b,o,x,b,x,o,negative
137,b,b,x,b,o,x,o,b,x,positive
138,o,x,b,o,x,x,o,b,b,negative
139,x,o,o,o,x,b,b,x,x,positive
140,x,x,x,b,o,o,b,o,x,positive
141,x,b,b,o,x,o,b,b,x,positive
142,x,b,o,x,o,x,o,b,b,negative
143,o,x,o,b,o,b,x,x,x,positive
144,x,o,b,b,x,b,b,o,x,positive
145,o,o,o,x,b,x,b,x,b,negative
146,b,x,x,o,x,x,o,o,o,negative
147,o,b,o,o,x,x,o,x,x,negative
148,b,o,b,b,o,b,x,x,x,positive
149,o,x,b,o,x,x,b,x,o,positive
150,o,o,b,b,x,o,x,x,x,positive
151,o,x,o,b,x,b,x,x,o,positive
152,o,x,b,o,b,x,o,b,x,negative
153,o,x,x,o,x,x,o,o,b,negative
154,x,x,o,x,x,o,b,o,o,negative
155,o,o,o,x,b,b,b,x,x,negative
156,o,o,x,x,o,x,b,b,x,positive
157,o,x,x,b,x,o,b,x,o,positive
158,x,x,o,b,o,x,o,b,b,negative
159,x,o,o,x,o,x,x,b,b,positive
160,o,x,b,o,o,x,x,x,o,negative
161,x,o,b,x,b,b,x,o,b,positive
162,b,x,o,x,x,b,o,x,o,positive
163,x,b,o,x,o,o,x,x,b,positive
164,o,b,o,o,x,b,x,x,x,positive
165,o,o,b,x,x,x,o,b,x,positive
166,o,o,o,x,b,x,o,x,x,negative
167,b,o,x,b,x,o,x,x,o,positive
168,b,x,x,o,o,x,o,b,x,positive
169,b,o,o,o,x,b,x,x,x,positive
170,b,x,x,x,x,o,o,o,o,negative
171,o,b,x,b,x,b,x,b,o,positive
172,o,x,b,b,x,o,b,x,b,positive
173,x,o,b,o,x,o,b,x,x,positive
174,o,x,x,b,o,x,o,b,x,positive
175,o,x,o,b,x,b,o,x,x,positive
176,o,x,x,o,o,o,b,x,x,negative
177,o,x,x,o,x,o,x,x,o,positive
178,o,x,o,x,x,x,o,x,o,positive
179,x,b,o,x,x,x,o,o,b,positive
180,o,x,o,x,x,b,b,x,o,positive
181,x,o,o,x,o,o,x,x,x,positive
182,x,o,o,x,x,x,o,b,b,positive
183,x,o,b,x,b,x,x,o,o,positive
184,x,x,x,o,b,b,b,b,o,positive
185,o,x,b,x,x,b,o,x,o,positive
186,x,b,o,x,x,x,b,o,o,positive
187,x,b,b,x,o,x,x,o,o,positive
188,x,x,x,b,b,o,o,o,x,positive
189,o,o,o,x,o,x,x,b,x,negative
190,x,x,x,b,o,b,o,b,b,positive
191,b,x,b,b,x,x,o,o,o,negative
192,b,x,x,o,o,o,x,x,o,negative
193,x,x,x,b,x,o,o,b,o,positive
194,o,b,o,x,b,o,x,x,x,positive
195,b,b,o,x,o,x,o,x,b,negative
196,o,b,x,b,b,x,b,o,x,positive
197,b,o,b,x,o,b,x,o,x,negative
198,b,x,o,o,b,o,x,x,x,positive
199,b,x,o,b,x,o,x,b,o,negative
200,o,x,o,b,x,o,b,x,x,positive
201,x,x,x,b,b,b,b,o,o,positive
202,x,x,x,o,b,x,o,o,b,positive
203,o,b,x,x,x,x,o,b,o,positive
204,o,x,x,o,x,o,b,x,b,positive
205,o,b,b,x,x,x,o,b,b,positive
206,b,x,x,b,x,o,x,o,o,positive
207,x,o,o,x,x,o,o,x,x,positive
208,x,x,b,x,o,b,x,o,o,positive
209,o,o,x,x,x,x,o,b,b,positive
210,o,b,x,o,x,o,o,x,x,negative
211,o,x,b,o,x,x,o,o,x,negative
212,x,o,o,x,o,b,o,x,x,negative
213,o,b,x,o,x,b,x,o,x,positive
214,b,b,o,x,x,x,x,o,o,positive
215,x,b,b,b,x,o,o,b,x,positive
216,o,x,o,x,x,x,o,o,x,positive
217,o,b,o,x,x,x,b,x,o,positive
218,o,o,x,o,b,x,x,b,x,positive
219,b,x,o,b,o,o,x,x,x,positive
220,o,b,o,x,x,x,o,x,b,positive
221,x,b,x,o,b,x,o,o,x,positive
222,o,x,b,o,b,b,o,x,x,negative
223,b,x,b,o,o,o,b,x,x,negative
224,x,o,o,x,x,b,x,o,b,positive
225,x,o,b,x,x,b,x,o,o,positive
226,x,b,b,x,o,b,x,b,o,positive
227,x,b,o,x,b,x,x,o,o,positive
228,b,b,b,x,x,x,o,b,o,positive
229,o,o,b,b,o,x,x,x,x,positive
230,x,o,o,b,x,o,x,x,o,negative
231,b,o,x,x,x,x,o,b,o,positive
232,x,b,x,o,o,o,x,o,x,negative
233,o,b,x,o,x,o,x,x,b,positive
234,x,o,x,b,x,o,x,b,o,positive
235,x,x,x,x,o,o,b,o,b,positive
236,b,x,b,x,x,o,o,x,o,positive
237,b,o,x,x,b,x,o,o,x,positive
238,b,x,o,x,o,x,o,x,o,negative
239,x,o,x,x,b,o,x,o,b,positive
240,x,x,x,b,o,b,o,x,o,positive
241,o,b,b,b,b,o,x,x,x,positive
242,b,x,o,x,b,o,x,b,o,negative
243,b,b,b,x,x,x,b,o,o,positive
244,o,b,x,x,o,b,b,x,o,negative
245,b,b,o,x,o,x,o,b,x,negative
246,o,b,o,b,x,o,x,x,x,positive
247,o,x,b,o,x,b,b,x,b,positive
248,x,o,b,o,x,o,x,b,x,positive
249,o,x,o,x,x,x,x,o,o,positive
250,o,o,x,x,o,x,o,x,x,positive
251,x,x,x,b,o,o,b,b,b,positive
252,x,o,b,o,x,x,b,o,x,positive
253,x,o,x,x,x,o,x,o,o,positive
254,x,o,x,o,x,b,x,b,o,positive
255,o,o,o,o,x,x,x,b,x,negative
256,o,x,b,x,x,x,b,o,o,positive
257,x,b,o,x,x,o,b,b,o,negative
258,o,x,x,x,o,o,o,x,x,negative
259,o,x,o,o,b,b,x,x,x,positive
260,o,b,x,b,o,x,x,b,o,negative
261,o,x,b,b,o,x,x,b,o,negative
262,o,x,o,o,b,x,o,x,x,negative
263,x,b,o,x,x,o,o,b,x,positive
264,b,x,b,o,x,b,b,x,o,positive
265,x,b,b,x,b,o,x,b,o,positive
266,x,x,o,x,o,x,o,o,b,negative
267,x,x,o,x,b,b,x,o,o,positive
268,o,o,o,b,x,x,x,x,o,negative
269,x,x,o,o,x,o,o,x,x,positive
270,o,o,o,x,x,b,x,o,x,negative
271,o,o,b,x,o,b,x,x,x,positive
272,b,x,o,o,x,b,o,x,x,positive
273,o,o,x,b,o,x,b,x,x,positive
274,o,b,b,x,o,x,x,b,o,negative
275,o,o,o,b,b,x,x,x,b,negative
276,b,o,x,o,x,b,x,o,x,positive
277,o,o,o,o,x,x,x,x,b,negative
278,x,b,b,o,x,o,x,o,x,positive
279,o,x,b,x,o,b,b,x,o,negative
280,o,x,b,x,x,o,o,x,b,positive
281,b,x,x,x,b,b,o,o,o,negative
282,o,o,x,b,o,x,x,x,o,negative
283,b,o,x,x,x,o,x,b,o,positive
284,o,o,x,x,b,x,o,b,x,positive
285,o,o,o,x,b,x,x,b,b,negative
286,o,x,o,x,x,o,o,x,x,positive
287,b,b,o,x,x,x,o,o,x,positive
288,o,o,x,x,x,x,b,o,b,positive
289,o,x,o,o,x,b,x,x,b,positive
290,o,x,b,o,x,o,b,x,x,positive
291,o,x,o,b,x,x,o,x,b,positive
292,x,x,x,x,o,o,o,o,x,positive
293,b,o,x,x,x,x,b,o,o,positive
294,o,x,x,x,o,b,o,x,o,negative
295,o,o,x,x,x,x,b,b,o,positive
296,x,x,x,b,b,o,b,b,o,positive
297,b,b,x,b,o,x,b,o,x,positive
298,o,b,b,b,o,x,x,x,o,negative
299,b,o,b,x,x,x,b,b,o,positive
300,x,x,o,o,b,o,x,x,o,negative
301,x,o,b,x,b,o,x,b,b,positive
302,x,x,b,o,x,o,o,b,x,positive
303,o,x,o,b,x,x,b,x,o,positive
304,b,o,x,o,b,x,b,b,x,positive
305,o,b,x,x,b,x,o,o,x,positive
306,o,o,o,x,b,x,x,x,o,negative
307,x,x,b,o,o,o,o,x,x,negative
308,b,x,b,o,o,o,x,b,x,negative
309,x,o,o,o,x,b,x,b,x,positive
310,o,x,o,x,o,o,x,x,x,positive
311,b,x,o,o,o,x,o,x,x,negative
312,x,o,o,x,x,x,b,b,o,positive
313,x,o,x,o,b,x,o,b,x,positive
314,x,o,x,x,x,o,o,x,o,negative
315,x,b,b,b,x,x,o,o,o,negative
316,x,x,o,b,x,b,o,o,x,positive
317,o,x,b,x,o,x,x,o,o,negative
318,x,o,x,x,x,o,o,o,x,positive
319,x,o,x,o,x,o,x,b,b,positive
320,o,o,x,b,x,b,x,o,x,positive
321,x,x,b,b,x,o,o,x,o,positive
322,x,o,x,b,x,b,x,o,o,positive
323,o,x,b,x,o,o,x,x,o,negative
324,o,x,x,b,x,o,x,o,b,positive
325,o,o,o,b,x,x,o,x,x,negative
326,b,o,x,o,x,o,x,x,b,positive
327,x,o,o,x,b,x,x,b,o,positive
328,x,x,x,b,o,x,b,o,o,positive
329,o,o,x,x,o,b,x,o,x,negative
330,x,b,o,b,x,o,b,b,x,positive
331,o,o,x,b,x,o,x,x,b,positive
332,x,o,b,x,o,x,b,o,b,negative
333,b,o,o,x,x,o,x,x,o,negative
334,x,x,x,b,b,o,b,o,b,positive
335,b,x,x,b,x,b,o,o,o,negative
336,x,x,o,o,x,o,x,b,o,negative
337,x,x,x,o,x,b,o,b,o,positive
338,x,x,b,o,o,o,x,x,o,negative
339,x,b,x,b,x,o,x,o,o,positive
340,x,o,b,x,b,b,x,b,o,positive
341,x,x,x,o,b,x,o,b,o,positive
342,b,x,x,o,o,o,x,o,x,negative
343,x,b,o,x,x,b,o,o,x,positive
344,x,o,b,x,o,b,x,x,o,positive
345,b,b,o,x,x,o,x,b,o,negative
346,o,o,b,x,x,x,b,o,x,positive
347,o,x,x,o,o,b,o,x,x,negative
348,o,b,x,x,o,x,x,o,o,negative
349,b,b,b,o,b,o,x,x,x,positive
350,x,o,x,o,o,x,b,b,x,positive
351,b,o,b,x,o,o,x,x,x,positive
352,b,o,o,x,x,x,b,o,x,positive
353,b,b,x,o,o,o,b,x,x,negative
354,x,x,b,x,b,b,o,o,o,negative
355,x,x,x,o,o,b,b,x,o,positive
356,o,x,b,x,o,x,o,x,o,negative
357,x,x,o,o,o,o,x,x,b,negative
358,x,b,o,x,o,o,o,x,x,negative
359,b,x,x,o,o,o,b,x,b,negative
360,o,x,x,o,x,b,b,x,o,positive
361,o,o,x,b,x,b,x,b,b,positive
362,b,b,o,x,x,x,o,x,o,positive
363,b,o,b,o,b,b,x,x,x,positive
364,x,x,o,x,x,b,o,o,o,negative
365,o,o,x,b,o,b,x,x,x,positive
366,o,o,b,x,x,x,x,b,o,positive
367,x,o,o,o,x,o,x,x,x,positive
368,x,x,x,o,x,o,b,o,b,positive
369,o,o,o,x,x,o,b,x,x,negative
370,x,x,x,o,o,x,b,b,o,positive
371,x,o,o,x,x,x,o,x,o,positive
372,o,b,o,x,x,x,x,o,b,positive
373,x,o,x,o,x,b,b,o,x,positive
374,x,x,o,x,x,o,o,b,o,negative
375,o,b,x,x,x,o,x,o,b,positive
376,x,o,b,x,x,o,b,o,x,positive
377,b,o,x,b,o,x,x,o,b,negative
378,x,o,o,x,o,b,x,b,x,positive
379,x,o,x,x,o,x,o,x,o,negative
380,x,b,o,x,x,o,o,x,o,negative
381,x,x,o,x,o,b,x,b,o,positive
382,x,o,x,x,o,o,b,o,x,negative
383,o,o,x,b,b,x,x,o,x,positive
384,o,o,o,x,b,x,b,b,x,negative
385,x,x,x,b,o,x,o,b,o,positive
386,x,x,o,b,o,o,o,x,x,negative
387,o,b,x,x,o,x,b,o,x,positive
388,x,o,b,x,x,o,o,b,x,positive
389,x,x,o,b,x,o,b,b,o,negative
390,x,b,o,o,x,b,o,x,x,positive
391,o,o,o,x,o,x,x,x,b,negative
392,o,x,x,o,o,x,b,b,x,positive
393,x,x,x,x,o,b,o,o,b,positive
394,x,x,x,x,o,o,x,o,o,positive
395,x,x,o,b,x,x,o,o,o,negative
396,x,b,b,o,x,b,o,b,x,positive
397,o,x,o,o,x,x,x,x,o,positive
398,o,o,o,x,b,b,x,b,x,negative
399,b,b,x,b,b,x,o,o,x,positive
400,x,b,o,x,x,o,x,o,b,positive
401,x,o,x,b,x,b,o,o,x,positive
402,o,b,x,o,o,x,x,x,o,negative
403,x,o,b,x,x,o,x,o,b,positive
404,x,b,o,o,x,x,o,b,x,positive
405,x,x,x,o,o,x,x,o,o,positive
406,x,b,o,x,o,x,o,x,o,negative
407,o,b,x,o,b,x,o,x,b,negative
408,o,x,b,b,x,x,o,x,o,positive
409,b,x,b,o,o,o,x,x,b,negative
410,x,o,x,o,x,b,o,b,x,positive
411,o,o,x,o,x,b,x,b,x,positive
412,o,x,x,o,o,x,b,x,o,negative
413,x,b,b,x,b,b,x,o,o,positive
414,o,b,b,x,o,o,x,x,x,positive
415,x,b,b,o,o,o,x,x,b,negative
416,x,b,x,o,x,b,x,o,o,positive
417,b,x,o,b,o,x,o,x,b,negative
418,b,x,x,b,b,x,o,o,o,negative
419,x,x,o,b,x,o,o,b,x,positive
420,b,o,x,x,o,o,x,o,x,negative
421,o,x,x,o,x,b,o,b,b,negative
422,b,o,b,x,x,x,x,o,o,positive
423,b,o,o,x,x,x,o,x,b,positive
424,o,o,x,x,x,b,x,o,b,positive
425,x,x,x,x,o,b,o,b,o,positive
426,x,b,o,o,x,b,b,b,x,positive
427,o,b,x,x,x,x,b,o,o,positive
428,x,x,o,b,o,b,o,b,x,negative
429,o,x,x,o,o,o,x,b,x,negative
430,o,o,b,o,x,x,o,x,x,negative
431,b,o,x,x,o,x,x,o,o,negative
432,x,o,x,o,x,o,x,o,x,positive
433,b,o,x,o,o,x,x,b,x,positive
434,x,o,b,b,o,o,x,x,x,positive
435,b,o,x,o,x,x,x,o,b,positive
436,o,x,o,x,o,b,x,x,o,negative
437,x,b,b,x,o,o,x,o,x,positive
438,o,o,x,x,o,b,x,x,o,negative
439,x,b,o,x,o,x,x,o,b,positive
440,x,o,o,b,o,b,x,x,x,positive
441,o,b,x,b,o,x,b,x,o,negative
442,x,o,b,o,o,b,x,x,x,positive
443,x,o,o,o,b,b,x,x,x,positive
444,x,o,b,x,x,x,o,b,o,positive
445,x,b,b,o,x,x,o,o,x,positive
446,b,b,o,x,x,o,b,x,o,negative
447,b,o,x,b,b,x,o,b,x,positive
448,x,x,x,o,o,b,x,b,o,positive
449,x,x,x,o,x,o,o,b,b,positive
450,x,b,b,o,x,b,b,o,x,positive
451,x,o,b,x,o,o,x,b,x,positive
452,b,b,x,o,x,b,x,o,b,positive
453,b,o,x,x,o,x,b,o,b,negative
454,x,o,x,o,x,x,o,x,o,negative
455,o,x,b,x,o,x,b,b,o,negative
456,o,b,b,o,x,b,o,x,x,negative
457,b,b,o,b,o,x,o,x,x,negative
458,o,b,b,o,x,x,o,x,b,negative
459,x,b,o,b,o,x,o,x,b,negative
460,b,x,o,x,b,o,b,x,o,negative
461,x,x,b,o,x,x,o,o,o,negative
462,b,b,x,o,x,x,x,o,o,positive
463,x,b,o,b,o,o,x,x,x,positive
464,o,x,x,o,b,o,o,x,x,negative
465,x,o,x,o,x,x,o,o,x,positive
466,x,b,x,o,o,o,o,x,x,negative
467,x,x,o,o,o,x,x,o,x,negative
468,x,o,x,b,x,o,o,b,x,positive
469,o,x,x,b,o,x,x,o,o,negative
470,x,x,x,o,b,b,b,o,b,positive
471,x,o,b,x,o,b,b,o,x,negative
472,o,b,o,x,o,x,o,x,x,negative
473,b,o,o,x,b,o,x,x,x,positive
474,o,b,x,o,x,b,o,b,x,negative
475,x,o,b,x,x,x,b,o,o,positive
476,o,x,x,o,x,b,o,o,x,negative
477,o,o,o,x,x,b,b,x,b,negative
478,x,b,x,o,o,o,b,x,b,negative
479,b,x,b,o,x,o,b,x,b,positive
480,o,o,o,b,x,x,b,b,x,negative
481,x,x,o,x,b,o,o,x,o,negative
482,x,o,o,x,b,b,x,b,b,positive
483,x,o,x,b,x,o,b,o,x,positive
484,x,b,x,b,x,o,o,o,x,positive
485,o,o,o,x,x,o,x,x,b,negative
486,b,o,b,x,o,x,b,o,x,negative
487,o,b,x,b,o,x,b,b,x,positive
488,b,o,o,x,x,x,x,o,b,positive
489,x,o,x,x,o,o,o,x,x,negative
490,o,b,o,x,x,x,x,b,o,positive
491,x,x,b,x,o,x,o,o,o,negative
492,x,b,x,x,o,b,x,o,o,positive
493,x,b,x,o,x,o,b,o,x,positive
494,o,o,o,b,x,x,b,x,b,negative
495,x,b,o,o,b,o,x,x,x,positive
496,o,o,b,x,b,o,x,x,x,positive
497,b,o,x,b,b,x,b,o,x,positive
498,o,b,x,b,x,o,x,b,b,positive
499,o,o,x,x,x,o,x,o,x,positive
500,o,x,o,b,x,o,x,x,b,positive
501,o,x,x,x,x,o,o,o,x,negative
502,x,x,x,o,b,b,x,o,o,positive
503,x,x,x,o,b,b,o,b,b,positive
504,o,x,o,x,o,b,o,x,x,negative
505,b,x,o,b,x,o,o,x,x,positive
506,x,x,x,o,x,o,b,b,o,positive
507,x,o,o,o,o,x,x,x,x,positive
508,o,x,x,x,o,x,o,b,o,negative
509,x,b,b,o,x,o,o,x,x,positive
510,x,o,b,o,b,o,x,x,x,positive
511,o,o,o,b,x,b,b,x,x,negative
512,o,x,b,x,o,b,x,b,o,negative
513,x,x,o,x,o,o,x,o,x,positive
514,x,x,x,b,x,o,o,o,b,positive
515,b,o,b,b,b,o,x,x,x,positive
516,o,x,x,o,o,x,o,x,b,negative
517,x,b,o,o,o,b,x,x,x,positive
518,o,b,x,o,b,b,o,x,x,negative
519,o,x,o,o,x,o,x,x,x,positive
520,x,x,x,x,o,o,o,x,o,positive
521,o,b,o,x,o,b,x,x,x,positive
522,o,x,b,o,b,x,o,x,b,negative
523,b,b,x,b,x,x,o,o,o,negative
524,o,x,o,x,x,o,x,o,x,negative
525,x,o,b,o,o,x,x,o,x,negative
526,x,x,o,o,x,x,o,x,o,positive
527,o,o,x,o,o,x,x,x,x,positive
528,o,o,o,b,x,x,x,b,b,negative
529,x,o,x,o,x,o,b,b,x,positive
530,x,o,o,x,o,b,x,x,b,positive
531,o,o,o,b,x,b,x,b,x,negative
532,x,o,x,o,x,b,x,o,b,positive
533,x,x,o,x,o,o,o,x,b,negative
534,o,b,x,b,x,o,x,o,x,positive
535,x,b,x,o,o,o,b,b,x,negative
536,x,b,x,o,x,b,o,o,x,positive
537,o,x,o,o,x,x,o,b,x,negative
538,o,o,x,x,x,o,o,x,x,negative
539,x,x,o,o,x,b,o,x,b,positive
540,o,o,x,b,x,x,x,b,o,positive
541,x,b,o,b,o,x,o,b,x,negative
542,x,x,o,x,o,x,o,b,o,negative
543,b,o,x,b,x,x,x,o,o,positive
544,o,o,x,b,b,x,b,b,x,positive
545,o,b,x,x,o,b,x,b,o,negative
546,x,o,o,b,x,x,o,b,x,positive
547,o,b,x,o,x,b,x,b,b,positive
548,o,x,b,o,o,b,x,x,x,positive
549,x,o,o,o,x,x,x,x,o,negative
550,o,x,x,b,x,b,x,o,o,positive
551,x,x,o,o,x,o,b,b,x,positive
552,x,o,x,x,o,b,x,b,o,positive
553,x,b,o,x,o,b,o,x,b,negative
554,x,o,x,o,o,x,x,x,o,negative
555,o,x,x,o,x,o,x,o,x,positive
556,b,o,x,b,o,b,x,o,x,negative
557,x,o,b,b,x,o,o,x,x,positive
558,x,x,o,o,x,x,x,o,o,negative
559,x,x,x,x,b,o,b,o,o,positive
560,b,o,o,b,o,x,x,x,x,positive
561,o,b,x,x,x,x,o,o,b,positive
562,b,x,o,x,x,o,x,o,o,negative
563,x,b,o,o,x,o,x,x,o,negative
564,o,b,x,b,o,x,o,x,x,positive
565,b,x,b,o,x,x,o,x,o,positive
566,o,x,x,o,x,o,x,b,b,positive
567,b,x,o,x,o,o,x,x,o,negative
568,o,o,b,x,x,x,b,b,b,positive
569,b,o,x,o,o,x,b,x,x,positive
570,x,b,o,b,x,b,b,o,x,positive
571,x,b,b,x,o,o,x,x,o,positive
572,b,x,o,o,x,b,x,x,o,positive
573,x,b,o,b,x,o,b,x,o,negative
574,x,o,o,b,x,o,x,b,x,positive
575,o,o,x,x,x,o,x,x,o,positive
576,o,x,b,b,o,b,x,x,o,negative
577,b,x,o,o,x,o,x,x,b,positive
578,b,o,b,b,o,x,x,o,x,negative
579,b,o,x,b,x,x,o,o,x,positive
580,x,x,x,b,o,x,o,o,b,positive
581,b,x,x,o,x,o,x,o,b,positive
582,x,x,o,x,o,b,x,o,b,positive
583,o,x,o,x,o,x,o,b,x,negative
584,x,o,b,o,x,b,o,x,x,positive
585,x,b,b,x,b,o,x,o,b,positive
586,o,b,o,o,b,x,x,x,x,positive
587,x,x,o,o,o,b,o,x,x,negative
588,b,o,x,b,x,o,x,o,x,positive
589,o,b,b,x,o,b,x,x,o,negative
590,b,x,b,x,b,x,o,o,o,negative
591,b,o,o,x,o,x,x,o,x,negative
592,o,x,x,x,x,o,o,x,o,positive
593,x,o,b,b,x,o,b,b,x,positive
594,o,o,x,x,o,o,x,x,x,positive
595,o,o,x,x,x,o,x,b,b,positive
596,x,o,b,x,b,o,x,x,o,positive
597,b,o,x,o,x,o,x,b,x,positive
598,o,x,b,o,x,b,o,b,x,negative
599,o,o,o,x,x,b,b,b,x,negative
600,b,x,o,b,o,b,o,x,x,negative
601,o,b,x,o,b,x,b,b,x,positive
602,x,b,b,x,o,b,x,o,b,positive
